Chromosome 5'	Position 5'	Chromosome 3'	Position 3'	Gene 5'	Gene 3'	Cell line
8	31498245	12	51634127	NRG1	DAZAP2	NCI-H345
14	27064616	14	75295916	NOVA1	YLPM1	NCI-H345
1	120611948	8	101961128	NOTCH2	YWHAZ	NCI-H345
20	36149805	20	35860699	NNAT	RPN2	NCI-H345
16	28970421	9	131678375	NFATC2IP	LRRC8A	NCI-H345
4	1283770	4	1222131	MAEA	CTBP1	NCI-H345
1	32573735	1	32495899	KPNA6	KHDRBS1	NCI-H345
4	83376007	13	107209479	ENOPH1	ARGLU1	NCI-H345
9	139757358	9	139717977	EDF1	C9orf86	NCI-H345
7	132659929	7	132973676	CHCHD3	EXOC4	NCI-H345
17	3867468	20	62318991	ATP2A3	RTEL1	NCI-H345
9	140500287	11	134234222	ARRDC1	GLB1L2	NCI-H345
1	50317068	1	50642761	AGBL4	ELAVL4	NCI-H345
10	33619636	10	34420511	NRP1	PARD3	NCI-H1395
7	120595678	16	89713739	ING3	CHMP1A	NCI-H1395
X	132090836	X	132795878	HS6ST2	GPC3	NCI-H1395
11	73130919	11	76224430	FAM168A	C11orf30	NCI-H1395
19	16582724	19	16593596	EPS15L1	CALR3	NCI-H1395
22	24110021	17	78110134	CHCHD10	EIF4A3	NCI-H1395
1	118537029	1	109650659	SPAG17	C1orf194	HCC366
11	66407594	11	66366587	RBM4	CCS	HCC366
11	66384528	11	66366587	RBM14	CCS	HCC366
21	48069651	X	62926329	PRMT2	ARHGEF9	HCC366
15	73925466	9	131453449	NPTN	SET	HCC366
17	27224544	17	27287991	FLOT2	SEZ6	HCC366
21	43362256	10	93237958	C2CD2	HECTD2	HCC366
1	957842	X	150154068	AGRN	HMGB3	HCC366
11	66407594	11	66366587	RBM4	CCS	CPC-N
15	89850903	22	22055507	FANCI	YPEL1	CPC-N
20	62337709	5	2749901	ARFRP1	IRX2	CPC-N
1	40627308	1	40557844	RLF	PPT1	COR-L47
1	40627308	1	40367115	RLF	MYCL1	COR-L47
1	40627308	1	40424373	RLF	MFSD2A	COR-L47
1	40627308	1	40535831	RLF	CAP1	COR-L47
1	51425439	1	49711536	FAF1	AGBL4	COR-L47
11	10820539	11	9309353	EIF4G2	TMEM41B	COR-L279
15	93472321	15	86768145	CHD2	AGBL1	COR-L279
10	133795265	5	10415600	BNIP3	MARCH6	COR-L279
11	134054532	8	62479877	NCAPD3	ASPH	M059K
6	15374483	16	49823457	JARID2	ZNF423	M059K
7	120595678	16	89713739	ING3	CHMP1A	M059K
10	101950626	16	89713739	CHUK	CHMP1A	M059K
22	28490068	20	57605484	TTC28	ATP5E	RPMI 2650
6	33266232	12	6879087	RGL2	PTMS	RPMI 2650
17	45696530	12	98991634	NPEPPS	SLC25A3	RPMI 2650
19	15353711	15	34640170	BRD4	C15orf55	RPMI 2650
7	5568792	19	54965609	ACTB	LENG8	RPMI 2650
14	31495110	19	10197605	STRN3	C19orf66	PK-8
3	124906081	3	123471385	SLC12A8	MYLK	PK-8
16	89627776	22	36688280	RPL13	MYH9	PK-8
2	136614298	2	136103205	MCM6	ZRANB3	PK-8
10	33218750	20	35173262	ITGB1	MYL9	G-402
3	85008819	12	111169706	CADM2	PPP1CC	G-402
8	60031445	8	61693559	TOX	CHD7	NCI-H810
7	47384353	7	47886669	TNS3	PKD1L1	NCI-H810
2	231951895	2	231222520	PSMD1	SP140L	NCI-H810
13	100861717	13	100511115	PCCA	CLYBL	NCI-H810
17	61600850	17	61571283	KCNH6	ACE	NCI-H810
X	117875119	X	117782908	IL13RA1	DOCK11	NCI-H810
1	150667132	15	65844014	GOLPH3L	PTPLAD1	NCI-H810
17	21030304	6	51514018	DHRS7B	PKHD1	NCI-H810
1	116927464	1	116609640	ATP1A1	SLC22A15	NCI-H810
14	73544244	1	225976942	RBM25	SRP9	COR-L88
5	65073361	17	21208363	NLN	MAP2K3	COR-L88
4	86643125	1	212617681	ARHGAP24	NENF	COR-L88
1	6341162	1	5947526	ACOT7	NPHP4	COR-L88
13	22033193	20	32026832	ZDHHC20	SNTA1	DMS 79
1	156012565	6	33656016	UBQLN4	ITPR3	DMS 79
12	117494611	12	117615446	TESC	FBXO21	DMS 79
8	125551266	8	121013764	TATDN1	DEPTOR	DMS 79
8	141675016	8	143382005	PTK2	TSNARE1	DMS 79
19	13136366	19	12951805	NFIX	MAST1	DMS 79
10	123243212	8	121301847	FGFR2	COL14A1	DMS 79
3	54420801	3	53684806	CACNA2D3	CACNA1D	DMS 79
20	13765936	12	48360466	C20orf7	TMEM106C	DMS 79
19	5679356	17	36873685	C19orf70	MLLT6	DMS 79
8	125551266	8	125603476	TATDN1	MTSS1	NCI-H716
8	125551266	8	121013764	TATDN1	DEPTOR	NCI-H716
17	79580344	17	79618715	NPLOC4	PDE6G	NCI-H716
8	125740125	10	123239535	MTSS1	FGFR2	NCI-H716
8	125740125	10	123600778	MTSS1	ATE1	NCI-H716
10	123243212	8	121301847	FGFR2	COL14A1	NCI-H716
4	122599570	18	33048706	ANXA5	INO80C	NCI-H716
5	173043203	5	169267761	BOD1	DOCK2	MOR
6	31612302	1	33235274	BAG6	KIAA1522	MOR
20	44099172	16	23197549	WFDC2	SCNN1G	NCI-H1648
20	37187096	16	23197549	RALGAPB	SCNN1G	NCI-H1648
2	232326251	1	24989151	NCL	SRRM1	NCI-H1648
17	2367502	17	6545569	METTL16	TXNDC17	NCI-H1648
18	29672849	21	47697631	RNF138	MCM3AP	NCI-H1651
16	69752273	7	45143855	NQO1	TBRG4	NCI-H1651
15	99828156	15	67677274	LRRC28	IQCH	NCI-H1651
1	113641407	1	111857162	LRIG2	CHIA	NCI-H1651
17	4905419	17	7720608	KIF1C	DNAH2	NCI-H1651
19	4714093	20	60882427	DPP9	ADRM1	NCI-H1651
15	34437599	15	43714324	C15orf29	TP53BP1	NCI-H1651
9	117835882	19	41774128	TNC	HNRNPUL1	LOU-NH91
16	12121301	16	12220490	SNX29	SNX29	LOU-NH91
17	78190831	2	63206323	SGSH	EHBP1	LOU-NH91
1	225155285	X	153279729	DNAH14	IRAK1	LOU-NH91
20	60348238	17	49237341	CDH4	NME2	LOU-NH91
17	45219595	2	216288249	CDC27	FN1	LOU-NH91
12	104350409	9	127074788	C12orf73	NEK6	LOU-NH91
4	184175152	4	183694625	WWC2	ODZ3	C-33 A
1	84948678	1	84967653	RPF1	GNG5	C-33 A
6	167347579	6	167271747	RNASET2	RPS6KA2	C-33 A
1	146643568	2	38818790	PRKAB2	HNRPLL	C-33 A
6	142630781	6	142487365	GPR126	VTA1	C-33 A
7	100275283	X	71493239	GNB2	RPS4X	C-33 A
8	141595218	8	141874498	EIF2C2	PTK2	C-33 A
10	69281600	10	69726559	CTNNA3	HERC4	C-33 A
6	132271089	12	112844146	CTGF	RPL6	C-33 A
19	1032695	19	875454	CNN2	MED16	C-33 A
7	89874858	7	89791228	C7orf63	STEAP1	C-33 A
12	110720600	12	110628725	ATP2A2	IFT81	C-33 A
8	140898123	8	140631342	TRAPPC9	KCNK9	NCI-H187
12	83081448	12	82850506	TMTC2	C12orf26	NCI-H187
3	100000691	3	99865817	TBC1D23	C3orf26	NCI-H187
12	19410471	12	19646734	PLEKHA5	AEBP2	NCI-H187
19	6226988	19	4366991	MLLT1	SH3GL1	HCC1534
17	44143903	17	44101322	KANSL1	MAPT	HCC1534
16	57828911	19	51305871	KIFC3	C19orf48	ACHN
11	65294588	6	33243574	SCYL1	RPS18	SK-N-FI
17	29576137	17	29844669	NF1	RAB11FIP4	SK-N-FI
12	80199946	12	79990438	PPP1R12A	PAWR	BICR 78
14	61346553	14	50713971	MNAT1	L2HGDH	BICR 78
4	103681875	4	103731012	MANBA	UBE2D3	BICR 78
22	45921558	22	45810203	FBLN1	RIBC2	BICR 78
7	116166743	19	18257691	CAV1	MAST3	BICR 78
3	63898901	3	63825449	ATXN7	THOC7	BICR 78
4	103681875	4	103731012	MANBA	UBE2D3	UKE-1
19	58921458	19	51825318	ZNF584	IGLON5	NCI-H820
10	93558646	10	93220184	TNKS2	HECTD2	NCI-H820
1	45851584	1	46165862	TESK2	IPP	NCI-H820
19	38755638	19	46003714	SPINT2	PPM1N	NCI-H820
1	95286612	1	94972094	SLC44A3	ABCD3	NCI-H820
22	22026670	22	21947150	PPIL2	UBE2L3	NCI-H820
14	36789666	7	82532057	MBIP	PCLO	NCI-H820
22	36894038	22	36680557	FOXRED2	MYH9	NCI-H820
11	88045556	11	88242672	CTSC	GRM5	NCI-H820
19	48744219	19	49079198	CARD8	SULT2B1	NCI-H820
12	21652489	12	4481863	RECQL	FGF23	NCI-H196
22	36737415	22	36894203	MYH9	FOXRED2	NCI-H196
10	5791990	10	5493793	FAM208B	NET1	NCI-H196
17	62510476	17	62582288	CEP95	SMURF2	NCI-H196
18	14124349	14	75295916	ZNF519	YLPM1	NCI-H2171
11	85685751	11	86106376	PICALM	CCDC81	NCI-H2171
20	30102537	20	30253889	HM13	BCL2L1	NCI-H2171
12	7027326	12	6756178	ENO2	ACRBP	NCI-H2171
19	3982805	19	4110653	EEF2	MAP2K2	NCI-H2171
6	31655818	6	32097631	ABHD16A	FKBPL	NCI-H2171
17	60601692	17	49731097	TLK2	CA10	NCI-H1930
17	73982365	17	73805841	TEN1	UNK	NCI-H1930
9	115408102	9	115567056	KIAA1958	SNX30	NCI-H1930
5	107006190	5	107356702	EFNA5	FBXL17	NCI-H1930
9	115248670	10	116200836	C9orf147	ABLIM1	NCI-H1930
7	55639964	7	55990855	VOPP1	ZNF713	JHH-4
11	113746167	11	83962334	USP28	DLG2	JHH-4
15	63336030	12	6878769	TPM1	PTMS	JHH-4
16	765393	1	38274203	METRN	C1orf122	JHH-4
11	86382804	11	88924370	ME3	TYR	JHH-4
5	109191035	7	90675212	MAN2A1	CDK14	JHH-4
6	3006793	11	62649365	NQO2	SLC3A2	NCI-H2804
1	210797014	1	211264032	HHAT	KCNH1	NCI-H2804
4	7811341	4	7994654	AFAP1	ABLIM2	NCI-H2804
16	29848279	7	135636378	MVP	MTPN	NCI-H2722
2	217006042	15	52702673	XRCC5	MYO5A	NCI-H2803
8	109455927	10	89487041	TTC35	PAPSS2	NCI-H2803
3	170099129	19	48221766	SKIL	EHD2	NCI-H2803
6	151358253	6	124676413	MTHFD1L	NKAIN2	NCI-H2803
15	99440134	15	52350830	IGF1R	MAPK6	NCI-H2803
13	31728770	13	31195901	HSPH1	USPL1	NCI-H2803
15	52970203	15	98995239	FAM214A	FAM169B	NCI-H2803
4	7840251	4	8038022	AFAP1	ABLIM2	NCI-H2803
17	80601825	17	80407168	WDR45L	C17orf62	NCI-H2347
19	42365281	19	41774128	RPS19	HNRNPUL1	NCI-H2347
19	2269743	19	1997462	OAZ1	BTBD2	NCI-H2347
20	32878138	19	12790736	AHCY	DHPS	NCI-H2347
6	163836367	6	163735859	QKI	PACRG	T98G
X	14891880	X	17080561	MOSPD2	REPS2	T98G
10	100202881	16	89713739	HPS1	CHMP1A	T98G
7	5569166	17	79813155	ACTB	P4HB	T98G
1	10555378	1	214531393	PEX14	PTPN14	C2BBe1
9	36276891	9	36376124	GNE	RNF38	C2BBe1
11	95523907	11	95598840	CEP57	MTMR2	C2BBe1
13	32921033	13	33018263	BRCA2	N4BP2L2	C2BBe1
11	35685328	11	74998419	TRIM44	ARRB1	HeLa
22	42229362	22	42154369	SREBF2	MEI1	HeLa
16	87885330	16	87938510	SLC7A5	CA5A	HeLa
12	53294372	12	53555173	KRT8	CSAD	HeLa
5	137715397	3	10167953	KDM3B	BRK1	HeLa
11	62494091	11	47008759	HNRNPUL2	C11orf49	HeLa
X	77155090	5	134681747	COX7B	H2AFY	HeLa
9	33166756	9	33262828	B4GALT1	BAG1	HeLa
11	62387969	11	62394825	B3GAT3	GANAB	HeLa
1	153935005	1	153957257	SLC39A1	RAB13	FaDu
3	52771602	4	25160729	NEK4	SEPSECS	FaDu
22	38323833	22	38273681	MICALL1	EIF3L	FaDu
17	76970770	17	76705814	LGALS3BP	CYTH1	FaDu
13	60667762	7	86594340	DIAPH3	KIAA1324L	FaDu
11	70275305	6	111280375	CTTN	GTF3C6	FaDu
19	1969958	19	1917693	CSNK1G2	SCAMP4	FaDu
1	9883701	1	9910834	CLSTN1	CTNNBIP1	FaDu
4	1941505	4	2993942	WHSC1	GRK4	RT-112
9	139804446	9	112042201	TRAF2	EPB41L4B	RT-112
1	51702551	1	51061888	RNF11	FAF1	RT-112
4	1808661	4	1741429	FGFR3	TACC3	RT-112
6	33231261	6	31725942	VPS52	MSH5	Hep G2
16	4952407	16	5037558	PPL	SEC14L5	Hep G2
13	76196004	13	76178905	LMO7	UCHL3	Hep G2
4	1808661	4	1741429	FGFR3	TACC3	Hep G2
6	139308667	7	37136332	REPS1	ELMO1	JHH-5
11	2972489	9	33900172	NAP1L4	UBE2R2	JHH-5
7	65432718	7	31682296	GUSB	CCDC129	JHH-5
7	98552927	18	9263788	TRRAP	ANKRD12	LS1034
15	44952630	15	44852447	SPG11	EIF3J	LS1034
13	100809594	13	73572960	PCCA	PIBF1	LS1034
1	6610456	1	6341346	NOL9	ACOT7	LS1034
8	102565010	2	69659137	GRHL2	NFU1	LS1034
8	102565010	19	4117627	GRHL2	MAP2K2	LS1034
10	129690820	12	53775443	CLRN3	SP1	LS1034
4	79792214	12	124887107	BMP2K	NCOR2	LS1034
2	32836649	2	33036091	BIRC6	TTC27	LS1034
11	428088	16	4312702	ANO9	TFAP4	LS1034
7	966189	7	647089	ADAP1	PRKAR1B	LS1034
13	27690653	16	30727387	USP12	SRCAP	CAL-12T
18	21523935	17	39925459	LAMA3	JUP	CAL-12T
3	128875476	19	41758256	ISY1	AXL	CAL-12T
10	32573626	20	17923839	EPC1	SNX5	CAL-12T
20	3180647	1	41483828	DDRGK1	SLFNL1	CAL-12T
12	104682818	5	176385155	TXNRD1	UIMC1	SNU-475
4	77871083	4	77670170	SEPT11	SHROOM3	SNU-475
1	40627308	1	39888046	RLF	MACF1	DMS 273
7	30831190	7	28758370	FAM188B	CREB5	DMS 273
7	150784159	7	150754247	AGAP3	CDK5	DMS 273
22	39134878	15	39886300	SUN2	THBS1	EPLC-272H
17	1380799	14	78184629	MYO1C	SNW1	EPLC-272H
1	47048900	7	96324203	MKNK1	SHFM1	EPLC-272H
11	71944566	16	30365379	INPPL1	CD2BP2	EPLC-272H
10	104181264	17	80047048	FBXL15	FASN	EPLC-272H
12	1213990	20	58486900	ERC1	SYCP2	EPLC-272H
3	32493965	19	10224309	CMTM7	P2RY11	EPLC-272H
17	3721557	17	57033010	C17orf85	PPM1E	EPLC-272H
17	1028518	17	43307971	ABR	FMNL1	EPLC-272H
9	34179238	12	53775443	UBAP1	SP1	DV-90
17	60505198	17	60483841	METTL2A	EFCAB3	DV-90
9	139757358	9	139935639	EDF1	NPDC1	DV-90
2	217026771	2	231978643	XRCC5	HTR2B	HCC1359
2	224856520	2	217054948	SERPINE2	XRCC5	HCC1359
1	205064115	16	11991892	RBBP5	GSPT1	HCC1359
4	148604950	4	151412187	PRMT10	LRBA	HCC1359
1	173776405	5	130495304	CENPL	HINT1	HCC1359
1	1158624	8	128752642	SDF4	MYC	SCLC-22H
11	32118883	11	31447834	RCN1	DNAJC24	SCLC-22H
8	98673401	8	11291429	MTDH	C8orf12	SCLC-22H
3	196730772	1	1271895	MFI2	DVL1	SCLC-22H
8	37696601	1	13718404	GPR124	PRAMEF17	SCLC-22H
1	78414840	1	185274775	FUBP1	IVNS1ABP	SCLC-22H
8	119122324	8	30021627	EXT1	DCTN6	SCLC-22H
6	31864700	17	40070149	EHMT2	ACLY	SCLC-22H
2	25497810	2	25095588	DNMT3A	ADCY3	SCLC-22H
19	12788105	19	54705355	DHPS	RPS9	SCLC-22H
13	114144982	13	114265311	DCUN1D2	TFDP1	SCLC-22H
8	11292611	8	99158796	C8orf12	POP1	SCLC-22H
2	101627391	1	200573083	TBC1D8	KIF14	OV7
11	108722936	11	101984875	DDX10	YAP1	OV7
16	1440633	16	1515339	UNKL	CLCN7	NTERA-2
9	134343140	12	124887107	PRRC2B	NCOR2	NTERA-2
10	105177689	10	105147278	PDCD11	TAF5	NTERA-2
9	127495587	9	127146935	NR6A1	PSMB7	NTERA-2
X	132548834	X	132670321	GPC4	GPC3	NTERA-2
7	127031551	7	127631000	ZNF800	SND1	COV504
17	28256956	17	28269258	SSH2	EFCAB5	COV504
9	127781078	9	127119194	SCAI	PSMB7	COV504
19	54404003	7	116166579	PRKCG	CAV1	COV504
22	41936703	10	73476099	POLR3H	C10orf105	COV504
17	29592357	17	29646041	NF1	EVI2A	COV504
7	116340338	7	115874588	MET	TES	COV504
1	957842	1	1192690	AGRN	UBE2J2	COV504
6	157739814	6	18207629	TMEM242	KDM1B	SCC-15
19	46341719	17	17752173	SYMPK	TOM1L2	SCC-15
2	143643105	5	43529981	KYNU	PAIP1	SCC-15
16	28838307	8	101596416	ATXN2L	SNX31	SCC-15
20	62152942	1	154238977	PPDPF	UBAP2L	HEC-1-A
15	72499468	2	96956252	PKM2	SNRNP200	HEC-1-A
5	56184184	5	60448531	MAP3K1	NDUFAF2	HEC-1-A
22	21348558	17	73264273	LZTR1	MIF4GD	HEC-1-A
6	31636949	6	31378320	CSNK2B	MICA	HEC-1-A
22	41728231	22	41605700	ZC3H7B	L3MBTL2	NCI-H889
1	40627308	1	40323089	RLF	TRIT1	NCI-H889
1	40627308	1	39500064	RLF	NDUFS5	NCI-H889
1	40627308	1	40367115	RLF	MYCL1	NCI-H889
3	127358366	8	17850992	PODXL2	PCM1	NCI-H889
1	39696915	1	40661304	MACF1	RLF	NCI-H889
19	8509995	17	46148941	HNRNPM	CBX1	NCI-H889
16	46918870	X	80532483	GPT2	SH3BGRL	NCI-H889
16	396148	X	71715118	AXIN1	HDAC8	NCI-H889
1	39466778	1	40205837	AKIRIN1	PPIE	NCI-H889
10	72576636	10	72489050	SGPL1	ADAMTS14	DU4475
4	3319778	4	3213656	RGS12	HTT	DU4475
6	144070202	6	144258786	PHACTR2	ZC2HC1B	DU4475
16	50583466	16	50342578	NKD1	ADCY7	DU4475
1	3496389	16	1364021	MEGF6	UBE2I	DU4475
3	197518411	3	197483297	LRCH3	FYTTD1	DU4475
22	47033857	22	46719087	GRAMD4	GTSE1	DU4475
1	65147789	1	64474977	CACHD1	ROR1	DU4475
1	155330092	1	155870409	ASH1L	RIT1	DU4475
19	57832239	19	58797083	ZNF543	ZNF8	HCC2302
19	47587602	19	58797083	ZC3H4	ZNF8	HCC2302
16	78198186	16	78005747	WWOX	VAT1L	HCC2302
10	70892803	10	70764802	VPS26A	KIAA1279	HCC2302
X	107018330	19	42510962	TSC22D3	GRIK5	HCC2302
19	52716363	19	48378091	PPP2R1A	SULT2A1	HCC2302
1	16459675	1	16632414	EPHA2	FBXO42	HCC2302
1	171958288	1	175958615	DNM3	RFWD2	HCC2302
3	196094899	3	196921460	UBXN7	DLG1	NCI-H1623
1	43408897	1	46649863	SLC2A1	TSPAN1	NCI-H1623
22	51160865	22	50857778	SHANK3	PPP6R2	NCI-H1623
10	120931894	10	121347760	PRDX3	TIAL1	NCI-H1623
4	95376535	4	95170805	PDLIM5	SMARCAD1	NCI-H1623
13	77825286	13	33018263	MYCBP2	N4BP2L2	NCI-H1623
11	20388827	13	37586434	HTATIP2	FAM48A	NCI-H1623
6	123118113	3	170946010	SMPDL3A	TNIK	NCI-H1734
17	60705281	17	61710041	MRC2	MAP3K3	NCI-H1734
12	22676360	12	32945665	KIAA0528	PKP2	NCI-H1734
3	143691831	6	123369767	C3orf58	CLVS2	NCI-H1734
17	62574610	17	62865284	SMURF2	LRRC37A3	NCI-H1869
4	2230826	4	2927741	POLN	ADD1	NCI-H1869
8	146221893	12	133331719	ZNF252	ANKLE2	NCI-H209
19	11107056	5	159831563	SMARCA4	SLU7	NCI-H209
16	3900298	16	3646394	CREBBP	SLX4	NCI-H209
17	47484121	17	47679369	PHB	SPOP	NCI-H2452
9	133569300	9	133376363	EXOSC2	ASS1	NCI-H2452
22	36907550	2	99988119	EIF3D	EIF5B	NCI-H2452
22	18111369	7	2284198	ATP6V1E1	NUDT1	NCI-H2452
11	126870351	19	41774128	KIRREL3	HNRNPUL1	NCI-H2373
13	114566548	2	71871095	GAS6	DYSF	NCI-H2373
17	3539346	17	3568092	SHPK	TAX1BP3	NCI-H28
17	1303341	17	1446321	YWHAE	PITPNA	NCI-H2595
3	196094899	14	105398085	UBXN7	PLD4	NCI-H2595
9	86322415	9	86368274	UBQLN1	GKAP1	NCI-H2595
16	30744770	19	56113441	SRCAP	ZNF524	NCI-H2595
22	41676937	22	41623808	RANGAP1	L3MBTL2	NCI-H2595
12	42729776	2	223066909	PPHLN1	PAX3	NCI-H2595
22	31091540	22	29966521	OSBP2	NIPSNAP1	NCI-H2595
22	18724096	19	38202593	PEX26	ZNF607	NCI-H2369
10	74452059	10	65140242	MCU	JMJD1C	NCI-H2369
7	35733794	7	35912276	HERPUD2	SEPT7	NCI-H2369
4	174090112	12	22215215	GALNT7	CMAS	NCI-H2369
2	36583766	2	36782891	CRIM1	FEZ2	NCI-H2369
6	32088548	1	155142333	ATF6B	KRTCAP2	NCI-H2369
9	32408649	9	32974559	ACO1	APTX	NCI-H2369
1	203798782	2	232325577	ZC3H11A	NCL	EB2
3	47205344	17	2076153	SETD2	SMG6	EB2
11	61197654	11	61558074	SDHAF2	C11orf10	EB2
5	176737427	1	226110083	MXD3	PYCR2	EB2
2	159389828	19	57905556	PKP4	ZNF548	LXFL529
11	12399330	11	12229570	PARVA	MICAL2	LXFL529
3	37116515	3	37089010	LRRFIP2	MLH1	LXFL529
6	150174139	19	4305943	LRP11	FSD1	LXFL529
13	45563877	13	45781559	KIAA1704	GTF2F2	LXFL529
7	26240192	7	26245988	HNRNPA2B1	CBX3	LXFL529
8	86089889	1	144917932	E2F5	PDE4DIP	LXFL529
19	14628951	19	19760749	DNAJB1	ATP13A1	LXFL529
6	161653068	6	161990448	AGPAT4	PARK2	LXFL529
19	39138547	19	39338074	ACTN4	HNRNPL	LXFL529
17	57990165	17	57917129	RPS6KB1	VMP1	HCC1319
10	14372057	5	150035966	FRMD4A	SYNPO	HCC1319
15	63631018	22	42483179	CA12	NDUFA6	HCC1319
19	39873931	19	39308215	SAMD4B	ECH1	KLE
17	37840850	17	38062238	PGAP3	GSDMB	KLE
1	46812747	19	39688693	NSUN4	NCCRP1	KLE
10	73501678	1	26487703	CDH23	FAM110D	KLE
10	73515116	10	73199584	C10orf54	CDH23	KLE
16	85011530	17	37009358	ZDHHC7	RPL23	HCC1493
14	67746254	14	67555700	MPP5	GPHN	HCC1493
13	42524072	13	39952663	KIAA0564	LHFP	HCC1493
12	42538228	12	42768665	GXYLT1	PPHLN1	HCC1493
21	47910632	21	35831034	DIP2A	KCNE1	HCC1493
5	149784243	6	117645578	CD74	ROS1	HCC1493
16	30419515	11	12530131	ZNF771	PARVA	HCC1011
1	19481412	6	36651874	UBR4	CDKN1A	HCC1011
11	12525976	16	30428876	PARVA	ZNF771	HCC1011
19	12883004	19	17081843	HOOK2	CPAMD8	HCC1011
4	48686690	4	48899874	FRYL	OCIAD2	HCC1011
22	36901943	22	36915584	FOXRED2	EIF3D	HCC1011
7	26240192	13	76287318	HNRNPA2B1	LMO7	Hs 255.T
5	145214740	5	145547828	PRELID2	LARS	NCI-H2023
1	167734986	1	165859441	MPZL1	UCK2	NCI-H2023
2	165378490	2	163167443	GRB14	IFIH1	NCI-H2023
7	111846862	7	112095818	ZNF277	IFRD1	HCC630
12	120031839	12	12618480	TMEM233	LOH12CR1	HCC630
2	231236366	2	231742723	SP140L	ITM2C	HCC630
11	62334278	11	62363579	EEF1G	MTA2	HCC630
12	12765121	20	34219699	CREBL2	CPNE1	HCC630
15	44630515	15	45353265	CASC4	SORD	HCC630
22	20791869	3	109019282	SCARF2	DPPA2	COV644
14	67790529	2	175264650	MPP5	SCRN3	COV644
1	153948302	1	153631614	JTB	SNAPIN	COV644
13	49649500	13	50080771	FNDC3A	PHF11	COV644
13	98865667	13	99134575	FARP1	STK24	COV644
13	50265390	13	50321129	EBPL	KPNA3	COV644
12	70704797	12	71158558	CNOT2	PTPRR	COV644
1	153614905	1	153957257	CHTOP	RAB13	COV644
3	11684911	10	53227483	VGLL4	PRKG1	AN3 CA
1	153948302	1	153631614	JTB	SNAPIN	AN3 CA
7	116593745	17	17721230	ST7	SREBF1	LNCAP clone FGC
6	158296208	10	96580253	SNX9	CYP2C19	LNCAP clone FGC
17	7218278	17	41975748	GPS2	MPP2	LNCAP clone FGC
5	171433462	5	170832306	FBXW11	NPM1	HCC1482
17	57970686	17	57886157	RPS6KB1	VMP1	NCI-H1915
10	79795478	10	75602299	RPS24	CAMK2G	NCI-H1915
17	57275150	1	203832791	PRR11	SNRPE	NCI-H1915
19	10283766	19	10432294	DNMT1	RAVER1	NCI-H1915
16	81069811	20	30253889	ATMIN	BCL2L1	NCI-H1915
17	79031767	17	80193859	BAIAP2	SLC16A3	HCC2885
13	115052104	1	52231494	UPF3A	OSBPL9	HCC2270
11	66824505	12	120635265	RHOD	RPLP0	HCC2270
5	78533505	11	723241	JMY	EPS8L2	HCC2270
2	24468998	4	39606800	ITSN2	C4orf34	HCC2270
1	970704	14	105246553	AGRN	AKT1	HCC2270
10	116361586	10	116100490	ABLIM1	AFAP1L2	HCC2270
2	232143171	2	232030585	ARMC9	PSMD1	COLO-783
6	32130399	6	31702040	PPT2	CLIC1	WM-115
19	42365281	19	41774128	RPS19	HNRNPUL1	HT-29 (IVCC)
17	27005652	2	242615652	SUPT6H	DTYMK	IMR-32
19	11107056	5	159831563	SMARCA4	SLU7	IMR-32
8	95479633	17	59857762	RAD54B	BRIP1	IMR-32
5	131755632	5	131714070	C5orf56	SLC22A5	HCC89
6	157256710	6	158288579	ARID1B	SNX9	HCC89
1	150195512	9	100773553	ANP32E	ANP32B	PA-1
3	77089997	3	85851197	ROBO2	CADM2	NCI-H1581
8	143412262	3	127500738	TSNARE1	MGLL	LCLC-103H
12	13229077	12	13065018	KIAA1467	GPRC5A	LCLC-103H
9	130965910	5	14286980	DNM1	TRIO	LCLC-103H
5	148929638	1	156025054	CSNK1A1	LAMTOR2	LCLC-103H
12	104995769	12	105199115	CHST11	SLC41A2	LCLC-103H
5	612558	5	453485	CEP72	EXOC3	LCLC-103H
9	139726822	13	115004465	C9orf86	CDC16	LCLC-103H
2	234189821	2	234070370	ATG16L1	INPP5D	LCLC-103H
6	151561859	6	151413603	AKAP12	MTHFD1L	LCLC-103H
4	25665952	6	117650609	SLC34A2	ROS1	HCC78
17	57970686	17	57886157	RPS6KB1	VMP1	HCC78
16	4945262	16	5037558	PPL	SEC14L5	HCC78
15	69113037	9	136234321	ANP32A	SURF4	HCC78
7	5568792	11	65429306	ACTB	RELA	HCC78
4	85611659	12	78334099	WDFY3	NAV3	HCC193
11	14535949	22	36716941	PSMA1	MYH9	HCC193
1	76259918	2	242186557	RABGGTB	HDLBP	SNU-387
7	65751696	5	112151192	TPST1	APC	SNU-C1
3	155571012	3	155314167	SLC33A1	PLCH1	SNU-C1
1	24125105	13	20245346	GALE	MPHOSPH8	SNU-C1
19	16582724	19	16192723	EPS15L1	TPM4	SNU-C1
15	93515647	15	43008875	CHD2	STARD9	SNU-C1
11	35160917	11	34952951	CD44	PDHX	SNU-C1
20	47752370	20	47364417	STAU1	PREX1	MS751
21	43945967	21	30339501	SLC37A1	LTN1	MS751
12	7343120	8	19810821	PEX5	LPL	MS751
1	6592028	1	6741097	NOL9	DNAJC11	MS751
15	41046795	15	41001223	FAM82A2	RAD51	MS751
16	69482047	16	72166890	CYB5B	PMFBP1	MS751
9	33166756	9	33262828	B4GALT1	BAG1	MS751
