fusionTranscriptID	fusionGenePair	breakpointID	5pStrand	3pStrand	junctionReads	spanningReads	TCGACancerCode	TCGASampleID
ENDOV::SLC26A11__17:80415610-17:80236928	ENDOV::SLC26A11	17:80415610-17:80236928	+	+	1	20	BRCA	TCGA-C8-A135-01A-11R-A115-07
INTS5::SYT12__11:62653170-11:67021869	INTS5::SYT12	11:62653170-11:67021869	-	+	4	7	BRCA	TCGA-C8-A135-01A-11R-A115-07
CACNB1::PPP4C__17:39183713-16:30083394	CACNB1::PPP4C	17:39183713-16:30083394	-	+	2	11	BRCA	TCGA-C8-A135-01A-11R-A115-07
NUP214::TOM1L2__9:131197416-17:17907531	NUP214::TOM1L2	9:131197416-17:17907531	+	-	3	7	BRCA	TCGA-C8-A135-01A-11R-A115-07
PHF3::NUS1__6:63646795-6:117693042	PHF3::NUS1	6:63646795-6:117693042	+	+	2	9	BRCA	TCGA-C8-A135-01A-11R-A115-07
ADCY9::PAM16__16:4113750-16:4331774	ADCY9::PAM16	16:4113750-16:4331774	-	-	2	7	BRCA	TCGA-C8-A135-01A-11R-A115-07
EXD3::ZMYND19__9:137423114-9:137588718	EXD3::ZMYND19	9:137423114-9:137588718	-	-	3	2	BRCA	TCGA-C8-A135-01A-11R-A115-07
PTRH2::STXBP4__17:59707371-17:55141310	PTRH2::STXBP4	17:59707371-17:55141310	-	+	2	4	BRCA	TCGA-C8-A135-01A-11R-A115-07
ZNF3::GATS__7:100081635-7:100233674	ZNF3::GATS	7:100081635-7:100233674	-	-	1	8	BRCA	TCGA-C8-A135-01A-11R-A115-07
FBXL20::CANT1__17:39343180-17:78997963	FBXL20::CANT1	17:39343180-17:78997963	-	-	1	5	BRCA	TCGA-C8-A135-01A-11R-A115-07
MSI2::PPM1E__17:57262192-17:58955649	MSI2::PPM1E	17:57262192-17:58955649	+	+	1	5	BRCA	TCGA-C8-A135-01A-11R-A115-07
USP32::TANC2__17:60222409-17:63151270	USP32::TANC2	17:60222409-17:63151270	-	+	1	4	BRCA	TCGA-C8-A135-01A-11R-A115-07
LUC7L3::MPRIP__17:50719831-17:17075710	LUC7L3::MPRIP	17:50719831-17:17075710	+	+	1	3	BRCA	TCGA-C8-A135-01A-11R-A115-07
PEMT::PRKCA__17:17576920-17:66641355	PEMT::PRKCA	17:17576920-17:66641355	-	+	1	3	BRCA	TCGA-C8-A135-01A-11R-A115-07
TTC28::ASCC2__22:28296198-22:29790548	TTC28::ASCC2	22:28296198-22:29790548	-	-	1	2	BRCA	TCGA-C8-A135-01A-11R-A115-07
MTG1::ZNF511__10:133402773-10:133312788	MTG1::ZNF511	10:133402773-10:133312788	+	+	30	101	BRCA	TCGA-C8-A137-01A-11R-A115-07
PREP::AIM1__6:105281746-6:106555768	PREP::AIM1	6:105281746-6:106555768	-	+	23	52	BRCA	TCGA-C8-A137-01A-11R-A115-07
ZNF592::ZSCAN2__15:84782814-15:84620602	ZNF592::ZSCAN2	15:84782814-15:84620602	+	+	8	15	BRCA	TCGA-C8-A137-01A-11R-A115-07
UBTD2::SH3PXD2B__5:172234122-5:172382127	UBTD2::SH3PXD2B	5:172234122-5:172382127	-	-	4	10	BRCA	TCGA-C8-A137-01A-11R-A115-07
DCAF6::MPZL1__1:167951861-1:167765583	DCAF6::MPZL1	1:167951861-1:167765583	+	+	1	4	BRCA	TCGA-C8-A137-01A-11R-A115-07
CPT1A::MYEOV__11:68841775-11:69341510	CPT1A::MYEOV	11:68841775-11:69341510	-	+	10	22	BRCA	TCGA-C8-A138-01A-11R-A115-07
TRAM1::CLVS1__8:70600019-8:61376605	TRAM1::CLVS1	8:70600019-8:61376605	-	+	6	15	BRCA	TCGA-C8-A138-01A-11R-A115-07
EDEM2::NOL4L__20:35137880-20:32548886	EDEM2::NOL4L	20:35137880-20:32548886	-	-	3	23	BRCA	TCGA-C8-A138-01A-11R-A115-07
ATP6V1H::CHD7__8:53841578-8:60781000	ATP6V1H::CHD7	8:53841578-8:60781000	-	+	4	4	BRCA	TCGA-C8-A138-01A-11R-A115-07
RIN1::RHOD__11:66336317-11:67065896	RIN1::RHOD	11:66336317-11:67065896	-	+	2	5	BRCA	TCGA-C8-A138-01A-11R-A115-07
C17orf62::ABCA7__17:82450700-19:1048895	C17orf62::ABCA7	17:82450700-19:1048895	-	+	2	1	BRCA	TCGA-C8-A138-01A-11R-A115-07
ARHGAP32::MIR4300HG__11:129123446-11:82673187	ARHGAP32::MIR4300HG	11:129123446-11:82673187	-	-	4	24	BRCA	TCGA-C8-A1HE-01A-11R-A13Q-07
ZNF610::IGKJ4__19:52336445-2:88860915	ZNF610::IGKJ4	19:52336445-2:88860915	+	-	22	0	BRCA	TCGA-C8-A1HG-01A-11R-A137-07
HECTD2::PCGF5__10:91425410-10:91261326	HECTD2::PCGF5	10:91425410-10:91261326	+	+	7	11	BRCA	TCGA-C8-A1HG-01A-11R-A137-07
LRRC1::FRY__6:53795415-13:32131672	LRRC1::FRY	6:53795415-13:32131672	+	+	1	6	BRCA	TCGA-C8-A1HG-01A-11R-A137-07
TM9SF1::TSSK4__14:24195346-14:24207964	TM9SF1::TSSK4	14:24195346-14:24207964	-	+	1	2	BRCA	TCGA-C8-A1HG-01A-11R-A137-07
GGA3::SMIM5__17:75261548-17:75634034	GGA3::SMIM5	17:75261548-17:75634034	-	+	81	51	BRCA	TCGA-C8-A1HI-01A-11R-A137-07
TRPM7::TMEM104__15:50657781-17:74835927	TRPM7::TMEM104	15:50657781-17:74835927	-	+	9	44	BRCA	TCGA-C8-A1HI-01A-11R-A137-07
RMDN3::SKA2__15:40751426-17:59112345	RMDN3::SKA2	15:40751426-17:59112345	-	-	6	53	BRCA	TCGA-C8-A1HI-01A-11R-A137-07
ARPP19::MYO5A__15:52568848-15:52323444	ARPP19::MYO5A	15:52568848-15:52323444	-	-	4	24	BRCA	TCGA-C8-A1HI-01A-11R-A137-07
SKA2::SPDYE22P__17:59154956-17:59175127	SKA2::SPDYE22P	17:59154956-17:59175127	-	-	3	28	BRCA	TCGA-C8-A1HI-01A-11R-A137-07
MEIS2::MYO5A__15:37036814-15:52372363	MEIS2::MYO5A	15:37036814-15:52372363	-	-	4	5	BRCA	TCGA-C8-A1HI-01A-11R-A137-07
TNRC6C::SCAPER__17:78051448-15:76404679	TNRC6C::SCAPER	17:78051448-15:76404679	+	-	2	6	BRCA	TCGA-C8-A1HI-01A-11R-A137-07
ATP8B4::DPH6__15:50038768-15:35381916	ATP8B4::DPH6	15:50038768-15:35381916	-	-	2	3	BRCA	TCGA-C8-A1HI-01A-11R-A137-07
INO80::PRKCA__15:41079701-17:66732688	INO80::PRKCA	15:41079701-17:66732688	-	+	1	3	BRCA	TCGA-C8-A1HI-01A-11R-A137-07
ERC1::RET__12:1141787-10:43116584	ERC1::RET	12:1141787-10:43116584	+	+	8	18	BRCA	TCGA-C8-A1HJ-01A-11R-A13Q-07
LRP8::SLC1A7__1:53280587-1:53134429	LRP8::SLC1A7	1:53280587-1:53134429	-	-	2	3	BRCA	TCGA-C8-A1HJ-01A-11R-A13Q-07
SYNE1::CACNA1C__6:152293588-12:2668933	SYNE1::CACNA1C	6:152293588-12:2668933	-	+	1	3	BRCA	TCGA-C8-A1HJ-01A-11R-A13Q-07
PPP6R3::SSH2__11:68554257-17:29703062	PPP6R3::SSH2	11:68554257-17:29703062	+	-	32	84	BRCA	TCGA-C8-A1HK-01A-21R-A13Q-07
PSMD3::OR7E126P__17:39984484-11:71903246	PSMD3::OR7E126P	17:39984484-11:71903246	+	+	26	59	BRCA	TCGA-C8-A1HK-01A-21R-A13Q-07
ANO1::ABHD15__11:70182686-17:29563086	ANO1::ABHD15	11:70182686-17:29563086	+	-	17	49	BRCA	TCGA-C8-A1HK-01A-21R-A13Q-07
GLTSCR1L::CYB5R4__6:42823003-6:83934595	GLTSCR1L::CYB5R4	6:42823003-6:83934595	+	+	6	14	BRCA	TCGA-C8-A1HK-01A-21R-A13Q-07
ZNF207::PPP6R3__17:32350352-11:68548067	ZNF207::PPP6R3	17:32350352-11:68548067	+	+	5	18	BRCA	TCGA-C8-A1HK-01A-21R-A13Q-07
POLA2::PPFIA1__11:65279626-11:70354301	POLA2::PPFIA1	11:65279626-11:70354301	+	+	3	16	BRCA	TCGA-C8-A1HK-01A-21R-A13Q-07
APP::RAB11FIP4__21:25905024-17:31431813	APP::RAB11FIP4	21:25905024-17:31431813	-	+	1	6	BRCA	TCGA-C8-A1HK-01A-21R-A13Q-07
APPBP2::DNAH17__17:60525794-17:78441199	APPBP2::DNAH17	17:60525794-17:78441199	-	-	4	6	BRCA	TCGA-C8-A1HL-01A-11R-A137-07
TRIM24::SVOPL__7:138573642-7:138596530	TRIM24::SVOPL	7:138573642-7:138596530	+	-	33	136	BRCA	TCGA-C8-A1HM-01A-12R-A137-07
FAM222B::BPTF__17:28790378-17:67959541	FAM222B::BPTF	17:28790378-17:67959541	-	+	4	21	BRCA	TCGA-C8-A1HM-01A-12R-A137-07
ERVK3-1::KCNMA1__19:58306216-10:77039637	ERVK3-1::KCNMA1	19:58306216-10:77039637	+	-	5	11	BRCA	TCGA-C8-A1HM-01A-12R-A137-07
CREB3L2::SHANK2__7:138001604-11:70502931	CREB3L2::SHANK2	7:138001604-11:70502931	-	-	2	8	BRCA	TCGA-C8-A1HM-01A-12R-A137-07
SMURF2P1::B4GALNT2__17:30600916-17:49141247	SMURF2P1::B4GALNT2	17:30600916-17:49141247	+	+	2	5	BRCA	TCGA-C8-A1HM-01A-12R-A137-07
ARMC1::RB1CC1__8:65622263-8:52634968	ARMC1::RB1CC1	8:65622263-8:52634968	-	-	29	69	BRCA	TCGA-C8-A1HN-01A-11R-A137-07
LEMD3::XPOT__12:65218619-12:64439244	LEMD3::XPOT	12:65218619-12:64439244	+	+	13	91	BRCA	TCGA-C8-A1HN-01A-11R-A137-07
DOCK1::PCDH15__10:127381368-10:54527877	DOCK1::PCDH15	10:127381368-10:54527877	+	-	12	50	BRCA	TCGA-C8-A1HN-01A-11R-A137-07
TAOK1::ZNF207__17:29544075-17:32381303	TAOK1::ZNF207	17:29544075-17:32381303	+	+	11	52	BRCA	TCGA-C8-A1HN-01A-11R-A137-07
ANKRD17::RPRD1B__4:73113792-20:38066081	ANKRD17::RPRD1B	4:73113792-20:38066081	-	+	5	28	BRCA	TCGA-C8-A1HN-01A-11R-A137-07
PTPN1::SLC9A8__20:50510590-20:49864728	PTPN1::SLC9A8	20:50510590-20:49864728	+	+	4	31	BRCA	TCGA-C8-A1HN-01A-11R-A137-07
RPRD1B::ANKRD17__20:38066256-4:73098520	RPRD1B::ANKRD17	20:38066256-4:73098520	+	-	5	24	BRCA	TCGA-C8-A1HN-01A-11R-A137-07
LRBA::ESF1__4:150798081-20:13718984	LRBA::ESF1	4:150798081-20:13718984	-	-	3	23	BRCA	TCGA-C8-A1HN-01A-11R-A137-07
DYNLRB1::ERGIC3__20:34526343-20:35542323	DYNLRB1::ERGIC3	20:34526343-20:35542323	+	+	5	12	BRCA	TCGA-C8-A1HN-01A-11R-A137-07
CTNNBL1::TTI1__20:37694152-20:38013857	CTNNBL1::TTI1	20:37694152-20:38013857	+	-	4	14	BRCA	TCGA-C8-A1HN-01A-11R-A137-07
DSTN::TCFL5__20:17570211-20:62842097	DSTN::TCFL5	20:17570211-20:62842097	+	-	4	14	BRCA	TCGA-C8-A1HN-01A-11R-A137-07
COX18::INPP4B__4:73065250-4:142462726	COX18::INPP4B	4:73065250-4:142462726	-	-	3	13	BRCA	TCGA-C8-A1HN-01A-11R-A137-07
EIF4EBP1::ADAM12__8:38030718-10:126046132	EIF4EBP1::ADAM12	8:38030718-10:126046132	+	-	2	13	BRCA	TCGA-C8-A1HN-01A-11R-A137-07
OVOL2::KIAA0922__20:18056657-4:153632718	OVOL2::KIAA0922	20:18056657-4:153632718	-	+	2	12	BRCA	TCGA-C8-A1HN-01A-11R-A137-07
MACROD2::DCLK2__20:14002404-4:150102478	MACROD2::DCLK2	20:14002404-4:150102478	+	+	2	5	BRCA	TCGA-C8-A1HN-01A-11R-A137-07
LMBR1::TPRG1__7:156796389-3:189238733	LMBR1::TPRG1	7:156796389-3:189238733	-	+	1	4	BRCA	TCGA-C8-A1HN-01A-11R-A137-07
GPR158::MYO16__10:25176322-13:108992376	GPR158::MYO16	10:25176322-13:108992376	+	+	69	85	BRCA	TCGA-C8-A1HO-01A-11R-A13Q-07
FGFR1::TACC1__8:38418228-8:38788704	FGFR1::TACC1	8:38418228-8:38788704	-	+	8	59	BRCA	TCGA-C8-A1HO-01A-11R-A13Q-07
CALCOCO2::ARSG__17:48831078-17:68420189	CALCOCO2::ARSG	17:48831078-17:68420189	+	+	14	0	BRCA	TCGA-C8-A1HO-01A-11R-A13Q-07
AXIN2::LRRC37A3__17:65541455-17:64855889	AXIN2::LRRC37A3	17:65541455-17:64855889	-	-	9	15	BRCA	TCGA-C8-A1HO-01A-11R-A13Q-07
TEX2::TANC2__17:64212574-17:63237814	TEX2::TANC2	17:64212574-17:63237814	-	+	3	17	BRCA	TCGA-C8-A1HO-01A-11R-A13Q-07
NSD3::TACC1__8:38381799-8:38788704	NSD3::TACC1	8:38381799-8:38788704	-	+	2	16	BRCA	TCGA-C8-A1HO-01A-11R-A13Q-07
GNPTAB::USP36__12:101764202-17:78787658	GNPTAB::USP36	12:101764202-17:78787658	-	-	5	3	BRCA	TCGA-C8-A1HO-01A-11R-A13Q-07
NF1::CACNA1G__17:31265339-17:50599428	NF1::CACNA1G	17:31265339-17:50599428	+	+	2	8	BRCA	TCGA-C8-A1HO-01A-11R-A13Q-07
DECR1::FAM110B__8:90021056-8:58145907	DECR1::FAM110B	8:90021056-8:58145907	+	+	1	11	BRCA	TCGA-C8-A1HO-01A-11R-A13Q-07
DUSP14::PHB__17:37489958-17:49409473	DUSP14::PHB	17:37489958-17:49409473	+	-	1	10	BRCA	TCGA-C8-A1HO-01A-11R-A13Q-07
ANKRD17::KCNIP4__4:73113792-4:20734735	ANKRD17::KCNIP4	4:73113792-4:20734735	-	-	3	1	BRCA	TCGA-C8-A1HO-01A-11R-A13Q-07
CCDC148::WDSUB1__2:158309433-2:159236190	CCDC148::WDSUB1	2:158309433-2:159236190	-	-	2	5	BRCA	TCGA-C8-A1HO-01A-11R-A13Q-07
FOXK2::PITPNC1__17:82587272-17:67669508	FOXK2::PITPNC1	17:82587272-17:67669508	+	+	1	9	BRCA	TCGA-C8-A1HO-01A-11R-A13Q-07
FCHSD2::RALYL__11:72984088-8:84920894	FCHSD2::RALYL	11:72984088-8:84920894	-	+	1	7	BRCA	TCGA-C8-A1HO-01A-11R-A13Q-07
GRB2::TEX14__17:75405489-17:58630554	GRB2::TEX14	17:75405489-17:58630554	-	-	2	3	BRCA	TCGA-C8-A1HO-01A-11R-A13Q-07
TXNDC16::GPR137C__14:52470037-14:52632160	TXNDC16::GPR137C	14:52470037-14:52632160	-	+	9	18	BRCA	TCGA-C8-A26V-01A-11R-A16F-07
ERO1A::TXNDC16__14:52695368-14:52470680	ERO1A::TXNDC16	14:52695368-14:52470680	-	-	3	12	BRCA	TCGA-C8-A26V-01A-11R-A16F-07
COG6::MAPK8__13:39660881-10:48431193	COG6::MAPK8	13:39660881-10:48431193	+	+	2	12	BRCA	TCGA-C8-A26V-01A-11R-A16F-07
MPPE1::PIEZO2__18:11889387-18:10871415	MPPE1::PIEZO2	18:11889387-18:10871415	-	-	3	2	BRCA	TCGA-C8-A26V-01A-11R-A16F-07
CADM2::FHIT__3:85802196-3:60536979	CADM2::FHIT	3:85802196-3:60536979	+	-	2	5	BRCA	TCGA-C8-A26V-01A-11R-A16F-07
ERO1A::GPR137C__14:52695368-14:52632160	ERO1A::GPR137C	14:52695368-14:52632160	-	+	2	4	BRCA	TCGA-C8-A26V-01A-11R-A16F-07
ITGB6::BAZ2B__2:160107679-2:159478721	ITGB6::BAZ2B	2:160107679-2:159478721	-	-	120	253	BRCA	TCGA-C8-A26W-01A-11R-A16F-07
PIP4K2B::TMEM99__17:38777687-17:40833115	PIP4K2B::TMEM99	17:38777687-17:40833115	-	+	12	37	BRCA	TCGA-C8-A26W-01A-11R-A16F-07
TAOK1::YWHAEP7__17:29530619-17:37855229	TAOK1::YWHAEP7	17:29530619-17:37855229	+	-	9	30	BRCA	TCGA-C8-A26W-01A-11R-A16F-07
UBE2D2::PAIP1__5:139561815-5:43555999	UBE2D2::PAIP1	5:139561815-5:43555999	+	-	6	13	BRCA	TCGA-C8-A26W-01A-11R-A16F-07
PKN1::LDLR__19:14446561-19:11116859	PKN1::LDLR	19:14446561-19:11116859	+	+	2	16	BRCA	TCGA-C8-A26W-01A-11R-A16F-07
PAK2::PIGX__3:196740157-3:196716858	PAK2::PIGX	3:196740157-3:196716858	+	+	4	6	BRCA	TCGA-C8-A26W-01A-11R-A16F-07
NFIX::DAND5__19:13090390-19:12973389	NFIX::DAND5	19:13090390-19:12973389	+	+	37	66	BRCA	TCGA-C8-A26X-01A-31R-A16F-07
NLK::BCAS3__17:28168657-17:60989971	NLK::BCAS3	17:28168657-17:60989971	+	+	20	17	BRCA	TCGA-C8-A26X-01A-31R-A16F-07
BSDC1::YARS__1:32386779-1:32811057	BSDC1::YARS	1:32386779-1:32811057	-	-	13	40	BRCA	TCGA-C8-A26X-01A-31R-A16F-07
JDP2::VRTN__14:75461530-14:74356783	JDP2::VRTN	14:75461530-14:74356783	+	+	13	29	BRCA	TCGA-C8-A26X-01A-31R-A16F-07
TBL1XR1::PIK3CA__3:177197121-3:179198750	TBL1XR1::PIK3CA	3:177197121-3:179198750	-	+	12	12	BRCA	TCGA-C8-A26X-01A-31R-A16F-07
RBM28::KMT2C__7:128321266-7:152185631	RBM28::KMT2C	7:128321266-7:152185631	-	-	2	50	BRCA	TCGA-C8-A26X-01A-31R-A16F-07
MLLT6::ACE__17:38712014-17:63496394	MLLT6::ACE	17:38712014-17:63496394	+	+	4	34	BRCA	TCGA-C8-A26X-01A-31R-A16F-07
ITGB4::SLC16A5__17:75751111-17:75098038	ITGB4::SLC16A5	17:75751111-17:75098038	+	+	9	11	BRCA	TCGA-C8-A26X-01A-31R-A16F-07
STK11::GPX4__19:1222006-19:1105186	STK11::GPX4	19:1222006-19:1105186	+	+	4	24	BRCA	TCGA-C8-A26X-01A-31R-A16F-07
CLTC::PRR11__17:59620173-17:59169748	CLTC::PRR11	17:59620173-17:59169748	+	+	4	11	BRCA	TCGA-C8-A26X-01A-31R-A16F-07
INPP5B::SF3A3__1:37931673-1:37960175	INPP5B::SF3A3	1:37931673-1:37960175	-	-	4	5	BRCA	TCGA-C8-A26X-01A-31R-A16F-07
BLVRA::STK17A__7:43803847-7:43595901	BLVRA::STK17A	7:43803847-7:43595901	+	+	2	3	BRCA	TCGA-C8-A26X-01A-31R-A16F-07
ODF2::SLC27A4__9:128469353-9:128343127	ODF2::SLC27A4	9:128469353-9:128343127	+	+	1	4	BRCA	TCGA-C8-A26X-01A-31R-A16F-07
SREBF2::FMNL2__22:41894937-2:152607339	SREBF2::FMNL2	22:41894937-2:152607339	+	+	11	54	BRCA	TCGA-C8-A26Y-01A-11R-A16F-07
KCNH7::SLC38A11__2:162836537-2:164939556	KCNH7::SLC38A11	2:162836537-2:164939556	-	-	6	28	BRCA	TCGA-C8-A26Y-01A-11R-A16F-07
USP31::NPIPB5__16:23148638-16:22523820	USP31::NPIPB5	16:23148638-16:22523820	-	+	7	16	BRCA	TCGA-C8-A26Y-01A-11R-A16F-07
DAB2IP::WDR38__9:121763879-9:124854205	DAB2IP::WDR38	9:121763879-9:124854205	+	+	4	4	BRCA	TCGA-C8-A26Y-01A-11R-A16F-07
ZNF567::TPM3P9__19:36689497-19:53441796	ZNF567::TPM3P9	19:36689497-19:53441796	+	+	2	9	BRCA	TCGA-C8-A26Y-01A-11R-A16F-07
CTNNA3::LRRC74A__10:67521842-14:76836207	CTNNA3::LRRC74A	10:67521842-14:76836207	-	+	2	2	BRCA	TCGA-C8-A26Y-01A-11R-A16F-07
WDFY3::KCNIP4__4:84713159-4:21763032	WDFY3::KCNIP4	4:84713159-4:21763032	-	-	1	5	BRCA	TCGA-C8-A26Y-01A-11R-A16F-07
NFIX::RAD23A__19:13025552-19:12949275	NFIX::RAD23A	19:13025552-19:12949275	+	+	1	3	BRCA	TCGA-C8-A26Y-01A-11R-A16F-07
ZNF567::ZNF761__19:36689497-19:53445001	ZNF567::ZNF761	19:36689497-19:53445001	+	+	1000	1000	BRCA	TCGA-C8-A26Y-01A-11R-A16F-07
USP48::NPIPB3__16:23148638-16:21415085	USP48::NPIPB3	16:23148638-16:21415085	-	-	1000	1000	BRCA	TCGA-C8-A26Y-01A-11R-A16F-07
SAE1::ZBTB45__19:47143605-19:58517673	SAE1::ZBTB45	19:47143605-19:58517673	+	-	13	27	BRCA	TCGA-C8-A26Z-01A-11R-A16F-07
FUT8::AGBL4__14:65411993-1:49245864	FUT8::AGBL4	14:65411993-1:49245864	+	-	1	17	BRCA	TCGA-C8-A26Z-01A-11R-A16F-07
RAD9A::ENPP7P7__11:67321333-11:67873341	RAD9A::ENPP7P7	11:67321333-11:67873341	+	-	3	7	BRCA	TCGA-C8-A26Z-01A-11R-A16F-07
ADIPOR2::CACNA2D4__12:1754514-12:1810340	ADIPOR2::CACNA2D4	12:1754514-12:1810340	+	-	2	9	BRCA	TCGA-C8-A26Z-01A-11R-A16F-07
UBE2Z::FKBP5__17:48922937-6:35637158	UBE2Z::FKBP5	17:48922937-6:35637158	+	-	2	1	BRCA	TCGA-C8-A26Z-01A-11R-A16F-07
DOCK8::GLIPR2__9:449927-9:36162362	DOCK8::GLIPR2	9:449927-9:36162362	+	+	1	3	BRCA	TCGA-C8-A26Z-01A-11R-A16F-07
AHCYL1::MAN1A2__1:109985172-1:117402186	AHCYL1::MAN1A2	1:109985172-1:117402186	+	+	1	2	BRCA	TCGA-C8-A26Z-01A-11R-A16F-07
CTDSP2::METTL1__12:57846372-12:57771257	CTDSP2::METTL1	12:57846372-12:57771257	-	-	1000	1000	BRCA	TCGA-C8-A26Z-01A-11R-A16F-07
TOP1::C17orf64__20:41101353-17:60425783	TOP1::C17orf64	20:41101353-17:60425783	+	+	60	231	BRCA	TCGA-C8-A273-01A-11R-A16F-07
EIF2S2::DEFB123__20:34112096-20:31450029	EIF2S2::DEFB123	20:34112096-20:31450029	-	+	40	123	BRCA	TCGA-C8-A273-01A-11R-A16F-07
PARD6B::CASS4__20:50738079-20:56445900	PARD6B::CASS4	20:50738079-20:56445900	+	+	19	39	BRCA	TCGA-C8-A273-01A-11R-A16F-07
MMD::NOL4L__17:55407746-20:32548886	MMD::NOL4L	17:55407746-20:32548886	-	-	6	41	BRCA	TCGA-C8-A273-01A-11R-A16F-07
ZFP28::SLC9A8__19:56550605-20:49839541	ZFP28::SLC9A8	19:56550605-20:49839541	+	+	8	28	BRCA	TCGA-C8-A273-01A-11R-A16F-07
RTFDC1::PARD6B__20:56468766-20:50749659	RTFDC1::PARD6B	20:56468766-20:50749659	+	+	10	10	BRCA	TCGA-C8-A273-01A-11R-A16F-07
KMT2C::CNTNAP2__7:152435626-7:146774271	KMT2C::CNTNAP2	7:152435626-7:146774271	-	+	2	40	BRCA	TCGA-C8-A273-01A-11R-A16F-07
CPD::SKAP1__17:30385236-17:48396785	CPD::SKAP1	17:30385236-17:48396785	+	-	5	4	BRCA	TCGA-C8-A273-01A-11R-A16F-07
USP32::UBE2O__17:60223411-17:76405572	USP32::UBE2O	17:60223411-17:76405572	-	-	1	20	BRCA	TCGA-C8-A273-01A-11R-A16F-07
RPRD1B::RALY__20:38066256-20:34072066	RPRD1B::RALY	20:38066256-20:34072066	+	+	3	11	BRCA	TCGA-C8-A273-01A-11R-A16F-07
EPB41L1::TUBD1__20:36122747-17:59863847	EPB41L1::TUBD1	20:36122747-17:59863847	+	-	1	17	BRCA	TCGA-C8-A273-01A-11R-A16F-07
SLC16A5::UNK__17:75089304-17:75816770	SLC16A5::UNK	17:75089304-17:75816770	+	+	2	3	BRCA	TCGA-C8-A273-01A-11R-A16F-07
OPHN1::MAOA__X:68192919-X:43731241	OPHN1::MAOA	X:68192919-X:43731241	-	+	1	5	BRCA	TCGA-C8-A273-01A-11R-A16F-07
SMARCD2::HCK__17:63842381-20:32071662	SMARCD2::HCK	17:63842381-20:32071662	-	+	1	5	BRCA	TCGA-C8-A273-01A-11R-A16F-07
NBEAL2::TMC2__3:46979912-20:2579146	NBEAL2::TMC2	3:46979912-20:2579146	+	+	3	7	BRCA	TCGA-C8-A274-01A-11R-A16F-07
MSI2::PRR15L__17:57627303-17:47953263	MSI2::PRR15L	17:57627303-17:47953263	+	-	39	75	BRCA	TCGA-C8-A275-01A-21R-A16F-07
USP32::SCPEP1__17:60252381-17:56998374	USP32::SCPEP1	17:60252381-17:56998374	-	+	24	83	BRCA	TCGA-C8-A275-01A-21R-A16F-07
TXNRD1::USP30__12:104289040-12:109067524	TXNRD1::USP30	12:104289040-12:109067524	+	+	21	46	BRCA	TCGA-C8-A275-01A-21R-A16F-07
SETD4::FTCD__21:36060347-21:46138923	SETD4::FTCD	21:36060347-21:46138923	-	-	10	52	BRCA	TCGA-C8-A275-01A-21R-A16F-07
STARD3::STRADA__17:39637231-17:63714108	STARD3::STRADA	17:39637231-17:63714108	+	-	17	16	BRCA	TCGA-C8-A275-01A-21R-A16F-07
MSI2::EFCAB5__17:57529724-17:30051118	MSI2::EFCAB5	17:57529724-17:30051118	+	+	3	62	BRCA	TCGA-C8-A275-01A-21R-A16F-07
TANC2::SSH2__17:63009626-17:29677741	TANC2::SSH2	17:63009626-17:29677741	+	-	11	17	BRCA	TCGA-C8-A275-01A-21R-A16F-07
VMP1::CDC42EP4__17:59811786-17:73286612	VMP1::CDC42EP4	17:59811786-17:73286612	+	-	6	20	BRCA	TCGA-C8-A275-01A-21R-A16F-07
MYO18A::ERBB2__17:29137016-17:39723319	MYO18A::ERBB2	17:29137016-17:39723319	-	+	4	17	BRCA	TCGA-C8-A275-01A-21R-A16F-07
SKAP1::YPEL2__17:48345905-17:59388327	SKAP1::YPEL2	17:48345905-17:59388327	-	+	6	5	BRCA	TCGA-C8-A275-01A-21R-A16F-07
MCM3AP::APP__21:46242802-21:25897673	MCM3AP::APP	21:46242802-21:25897673	-	-	2	14	BRCA	TCGA-C8-A275-01A-21R-A16F-07
TRIM25::DLX3__17:56913392-17:49995126	TRIM25::DLX3	17:56913392-17:49995126	-	-	3	5	BRCA	TCGA-C8-A275-01A-21R-A16F-07
MKS1::CCR7__17:58212378-17:40558942	MKS1::CCR7	17:58212378-17:40558942	-	-	2	5	BRCA	TCGA-C8-A275-01A-21R-A16F-07
BRIP1::CUEDC1__17:61776401-17:57885879	BRIP1::CUEDC1	17:61776401-17:57885879	-	-	2	4	BRCA	TCGA-C8-A275-01A-21R-A16F-07
TMEM97::SKAP1__17:28319365-17:48396785	TMEM97::SKAP1	17:28319365-17:48396785	+	-	1	4	BRCA	TCGA-C8-A275-01A-21R-A16F-07
FAM222B::GIP__17:28766586-17:48967253	FAM222B::GIP	17:28766586-17:48967253	-	-	1	2	BRCA	TCGA-C8-A275-01A-21R-A16F-07
PBX1::RHBG__1:164812149-1:156384527	PBX1::RHBG	1:164812149-1:156384527	+	+	17	44	BRCA	TCGA-C8-A278-01A-11R-A169-07
FBXL20::CDC6__17:39401361-17:40289408	FBXL20::CDC6	17:39401361-17:40289408	-	+	17	20	BRCA	TCGA-C8-A278-01A-11R-A169-07
MLLT10::SNTG1__10:21735235-8:50502778	MLLT10::SNTG1	10:21735235-8:50502778	+	+	7	7	BRCA	TCGA-C8-A278-01A-11R-A169-07
