fusionGenePair	tumorAnnotations
DUSP4::IGH	Multiple myeloma
DUSP5::IGK	Multiple myeloma
DUSP7::PBRM1	Adenocarcinoma
DUSP8::MYEOV	Undifferentiated carcinoma, small cell
DUX4::ERG	Acute lymphoblastic leukemia/lymphoblastic lymphoma
DUX4::FRG2B	Acute lymphoblastic leukemia/lymphoblastic lymphoma
DUX4::IGH	Acute lymphoblastic leukemia/lymphoblastic lymphoma
DVL1::CCNL2	Adenocarcinoma
DVL1::ITPA	Adenocarcinoma
DVL1::OPTN	Malignant epithelial tumor, special type
DVL1::PLCH2	Mesenchymal tumor, NOS
DVL2::CST6	Adenocarcinoma
DVL2::TFE3	PEComa | Alveolar soft part sarcoma | Adenocarcinoma
DVL2::TMEM256	Adenocarcinoma
DVL3::ECE2	Adenocarcinoma
DVL3::RFX6	Adenocarcinoma
DVL3::SCN11A	Undifferentiated carcinoma, small cell
DVL3::VPS8	Squamous cell carcinoma
DYM::ACAA2	Adenocarcinoma
DYM::C10orf105	Adenocarcinoma
DYM::C18orf32	Adenocarcinoma
DYM::CFAP53	Mesenchymal tumor, NOS
DYM::CTIF	Adenocarcinoma
DYM::DAZAP1	Adenocarcinoma
DYM::KATNAL2	Adenocarcinoma
DYM::MYO5B	Adenocarcinoma
DYM::OAS3	Mesenchymal tumor, NOS
DYM::RPL17	Malignant melanoma
DYM::SLC14A2	Adenocarcinoma
DYM::TMC7	Malignant melanoma
DYNC1H1::CDHR3	Squamous cell carcinoma
DYNC1H1::CSN2	Adenocarcinoma
DYNC1H1::EIF5	Squamous cell carcinoma
DYNC1H1::ERBB3	Squamous cell carcinoma
DYNC1H1::EVL	Adenocarcinoma
DYNC1H1::GZMB	Multiple myeloma
DYNC1H1::PPP2R5C	Adenocarcinoma
DYNC1H1::SIAE	Adenocarcinoma
DYNC1I1::ALB	Adenocarcinoma
DYNC1I1::ASB4	Adenocarcinoma
DYNC1I1::CXCL11	Squamous cell carcinoma
DYNC1I1::ZC3HAV1	Adenocarcinoma
DYNC1I2::BABAM2	Adenocarcinoma
DYNC1I2::BRAF	Malignant melanoma
DYNC1LI1::GADL1	Astrocytoma, grade III-IV/Glioblastoma
DYNC1LI1::MRPS11	Adenocarcinoma
DYNC1LI2::NAE1	Adenocarcinoma
DYNC1LI2::ZNF610	Mature B-cell neoplasm, NOS
DYNC2H1::CCDC60	Adenocarcinoma
DYNC2H1::CEP126	Squamous cell carcinoma
DYNC2H1::CFAP300	Transitional cell carcinoma
DYNC2H1::ENDOD1	Squamous cell carcinoma
DYNC2H1::KCNQ5	Adenocarcinoma
DYNC2H1::MMP1	Squamous cell carcinoma
DYNC2H1::NARS2	Malignant melanoma
DYNC2H1::YAP1	Adenocarcinoma
DYNC2I1::VIPR2	Adenocarcinoma
DYNC2I2::NDUFV1	Benign epithelial tumor, special type
DYNC2I2::ZER1	Adenocarcinoma
DYNC2LI1::KCNN3	Mesenchymal tumor, NOS
DYNLL1::COQ5	Squamous cell carcinoma
DYNLL1::GLI2	Germ cell tumor, special type
DYNLL1::RNF10	Adenocarcinoma
DYNLL2::SEPTIN4	Adenocarcinoma
DYNLRB1::ARCN1	Adenocarcinoma
DYNLRB1::CNBD2	Adenocarcinoma
DYNLRB1::ERGIC3	Adenocarcinoma
DYNLRB1::ITCH	Adenocarcinoma
DYNLRB1::RALY	Adenocarcinoma
DYNLT1::DUSP15	Adenocarcinoma
DYNLT3::U2AF2	Adenocarcinoma
DYRK1A::APP	Squamous cell carcinoma
DYRK1A::BRWD1	Adenocarcinoma
DYRK1A::DENND3	Adenocarcinoma
DYRK1A::GLIS2	Skin | Acute myeloid leukemia, NOS
DYRK1A::HUNK	Adenocarcinoma
DYRK1A::IFNGR2	Squamous cell carcinoma
DYRK1A::KCNJ6	Adenocarcinoma
DYRK1A::KDM4B	Adenocarcinoma
DYRK1A::MRPS6	Adenocarcinoma
DYRK1A::PHF6	Adenocarcinoma
DYRK1A::PKNOX1	Adenocarcinoma
DYRK1A::RUNX1	Squamous cell carcinoma
DYRK1A::TRAPPC10	Multiple myeloma
DYRK1A::TTC3	Acute myeloid leukemia, NOS | Adenocarcinoma | Skin
DYRK1A::ZBTB46	Adenocarcinoma
DYRK1B::DPF1	Malignant epithelial tumor, special type
DYRK1B::GAPDHS	Adenocarcinoma
DYRK2::CNTN2	Mesenchymal tumor, NOS
DYSF::ALK	Adenocarcinoma
DZANK1::DTD1	Adenocarcinoma
DZANK1::RRBP1	Astrocytoma, grade I-II
DZIP1::PCCA	Adenocarcinoma
DZIP1L::A4GNT	Adenocarcinoma
DZIP1L::NME9	Adenocarcinoma
E2F3::AKIRIN2	Adenocarcinoma
E2F3::CDKAL1	Adenocarcinoma
E2F3::FBXO9	Adenocarcinoma
E2F3::MYL4	Transitional cell carcinoma
E2F3::WRNIP1	Adenocarcinoma
E2F4::RPL14	Acute lymphoblastic leukemia/lymphoblastic lymphoma
E2F5::CA3	Adenocarcinoma
E2F5::LRRCC1	Squamous cell carcinoma
E2F6::FKBP4	Undifferentiated pleomorphic sarcoma
E2F6::LYRM4	Adenocarcinoma
E2F6::STK36	Adenocarcinoma
E2F7::PTPRR	Mesenchymal tumor, NOS
E2F8::CSRP3	Transitional cell carcinoma
EAF1::BTD	Adenocarcinoma
EAF1::CAND2	Adenocarcinoma
EAF1::SPATA16	Adenocarcinoma
EAF2::RGS9	Adenocarcinoma
EAPP::SNX6	Adenocarcinoma
EAPP::USP13	Squamous cell carcinoma
EARS2::COG7	Adenocarcinoma
EARS2::VMP1	Adenocarcinoma
EBAG9::PKHD1L1	Adenocarcinoma
EBF1::JAK2	Acute lymphoblastic leukemia/lymphoblastic lymphoma
EBF1::JMJD1C	Acute lymphoblastic leukemia/lymphoblastic lymphoma
EBF1::PDGFRB	Acute lymphoblastic leukemia/lymphoblastic lymphoma
EBF4::TMC2	Astrocytoma, grade III-IV/Glioblastoma
EBNA1BP2::FMO3	Adenocarcinoma
EBNA1BP2::RRAGC	Primitive neuroectodermal tumor/Medulloblastoma | Russia
EBPL::LPAR6	Squamous cell carcinoma
EBPL::MIPEP	Adenocarcinoma
ECD::CFAP70	Squamous cell carcinoma
ECD::CXCL12	Adenocarcinoma
ECD::MRPS16	Adenocarcinoma
ECD::PCDH15	Squamous cell carcinoma
ECE1::CFAP144	Malignant melanoma
ECE1::EIF4G3	Astrocytoma, grade I-II
ECE1::NIPAL3	Adenocarcinoma
ECE1::PCP4	Adenocarcinoma
ECE1::PLA2G5	Malignant melanoma
ECE1::RAP1GAP	Adenocarcinoma
ECE1::SLC48A1	Adenocarcinoma
ECE1::SRSF10	Adenocarcinoma
ECE1::TRAF3IP2	Malignant melanoma
ECE1::WNT4	Adenocarcinoma
ECE2::HTR3C	Squamous cell carcinoma
ECE2::PSMD2	Squamous cell carcinoma
ECHDC1::FYN	Adenocarcinoma
ECHDC1::MYO6	Squamous cell carcinoma
ECI1::CDKN3	Adenocarcinoma
ECPAS::CARD19	Adenocarcinoma
ECPAS::PACS1	Adenocarcinoma
ECPAS::SHOC1	Adenocarcinoma
ECPAS::WNK2	Adenocarcinoma
ECPAS::ZNF484	Adenocarcinoma
ECSIT::ELOF1	Malignant melanoma
ECSIT::RGL3	Adenocarcinoma
ECT2::CSTF3	Undifferentiated carcinoma, small cell
ECT2::DGKG	Squamous cell carcinoma
ECT2::KALRN	Squamous cell carcinoma
EDA::FAAH2	Adenocarcinoma
EDA::MID1	Adenocarcinoma
EDA::TEX11	Mesenchymal tumor, NOS
EDARADD::TGFBR3	Adenocarcinoma
EDC3::COX5A	Adenocarcinoma
EDC3::CYP11A1	Adenocarcinoma
EDC3::CYP1A1	Adenocarcinoma
EDC3::SCAMP2	Adenocarcinoma
EDC3::SLC6A11	Germ cell tumor, NOS
EDC3::SNX29	Adenocarcinoma
EDEM1::GPD1L	Adenocarcinoma
EDEM1::ITPR1	Adenocarcinoma
EDEM2::DOK5	Adenocarcinoma
EDEM2::NOL4L	Adenocarcinoma
EDEM2::PEX14	Adenocarcinoma
EDEM2::UQCC1	Malignant melanoma
EDEM3::DPT	Malignant epithelial tumor, special type
EDEM3::HHAT	Adenocarcinoma
EDF1::ASPSCR1	Malignant epithelial tumor, special type
EDF1::DPP7	Adenocarcinoma
EDF1::EHMT1	Multiple myeloma
EDF1::NOTCH1	Acute lymphoblastic leukemia/lymphoblastic lymphoma
EDF1::RABL6	Multiple myeloma
EDF1::RALGDS	Multiple myeloma
EDIL3::MAN1C1	Mesothelioma
EDIL3::MKLN1	Acute myeloblastic leukemia without maturation (FAB type M1)
EDNRB::COL4A1	Adenocarcinoma
EEA1::BRAF	Benign nevus
EEA1::CRADD	Transitional cell carcinoma
EEA1::LRRIQ1	Adenocarcinoma
EEA1::MPG	Adenocarcinoma
EEA1::PAH	Adenocarcinoma
EEA1::RET	Carcinoma, NOS | Adenocarcinoma
EEA1::TMCC3	Adenocarcinoma
EEA1::UBE2N	Adenocarcinoma
EEA1::UBL3	Adenocarcinoma
EED::HIKESHI	Squamous cell carcinoma | Adenocarcinoma
EED::TPCN2	Adenocarcinoma
EEF1A1::MPO	Skin | Acute myeloid leukemia, NOS
EEF1A1::NTRK3	Malignant soft tissue tumor, NOS
EEF1A1::PLAG1	Low-grade fibromyxoid sarcoma | Lipoblastoma
EEF1A2::DKKL1	Adenocarcinoma
EEF1A2::ZBTB46	Adenocarcinoma
EEF1AKMT2::CTBP2	Adenocarcinoma
EEF1AKMT2::FAM53B	Nonneoplastic hematologic disorder/lesion | Nonneoplastic epithelial disorder/lesion
EEF1AKMT3::CDKAL1	Transitional cell carcinoma
EEF1AKMT3::CNOT2	Astrocytoma, grade III-IV/Glioblastoma
EEF1AKMT3::CPM	Astrocytoma, grade III-IV/Glioblastoma
EEF1AKMT3::GLI1	Astrocytoma, grade I-II
EEF1AKMT3::INHBC	Astrocytoma, grade I-II
EEF1AKMT3::INHBE	Astrocytoma, grade III-IV/Glioblastoma
EEF1AKMT3::LTA4H	Mesenchymal tumor, NOS
EEF1AKMT3::LYZ	Astrocytoma, grade III-IV/Glioblastoma
EEF1AKMT3::MBD6	Malignant melanoma
EEF1AKMT3::METTL1	Astrocytoma, grade III-IV/Glioblastoma
EEF1AKMT3::PIP4K2C	Malignant melanoma
EEF1AKMT3::PTPRR	Mesenchymal tumor, NOS
EEF1AKMT3::RASSF3	Squamous cell carcinoma
EEF1D::GFUS	Adenocarcinoma
EEF1D::PUF60	Adenocarcinoma
EEF1D::STAU2	Adenocarcinoma
EEF1D::TSNARE1	Adenocarcinoma
EEF1E1::EYS	Adenocarcinoma
EEF1G::ALK	Anaplastic large cell lymphoma, systemic type
EEF1G::CHCHD3	Multiple myeloma
EEF1G::IGK	Multiple myeloma
EEF1G::NXF1	Malignant melanoma
EEF1G::OOEP	Acute lymphoblastic leukemia/lymphoblastic lymphoma
EEF1G::PPP6R3	Squamous cell carcinoma
EEF1G::SLC22A6	Adenocarcinoma
EEF2::ANKS1A	Adenocarcinoma
EEF2::ARFGEF2	Adenocarcinoma
EEF2::CBS	Adenocarcinoma
EEF2::CLCN3	Transitional cell carcinoma
EEF2::DDX21	Germ cell tumor, NOS
EEF2::DDX27	Adenocarcinoma
EEF2::EEA1	Mesenchymal tumor, NOS
EEF2::EIF2AK2	Transitional cell carcinoma
EEF2::ERBB3	Adenocarcinoma
EEF2::FAR1	Adenocarcinoma
EEF2::IGL	Multiple myeloma
EEF2::LAMA4	Mesenchymal tumor, NOS
EEF2::LIPF	Adenocarcinoma
EEF2::PABPC1	Malignant melanoma
EEF2::PLEKHA5	Adenocarcinoma
EEF2::SEC63	Adenocarcinoma
EEF2::SIAE	Adenocarcinoma
EEF2::SLC25A23	Adenocarcinoma
EEF2::SMARCA4	Mesenchymal tumor, NOS
EEF2::THSD4	Adenocarcinoma
EEF2::TYK2	Diffuse large B-cell lymphoma
EEF2K::ACSM3	Adenocarcinoma
EEF2K::FAM241B	Squamous cell carcinoma
EEF2K::KCTD1	Adenocarcinoma
EEF2K::SDR42E2	Adenocarcinoma
EEF2K::UQCRC2	Adenocarcinoma
EEF2K::VWA3A	Adenocarcinoma
EEFSEC::CD96	Mesenchymal tumor, NOS
EEFSEC::NSMCE2	Transitional cell carcinoma
EEFSEC::PDHX	Acute lymphoblastic leukemia/lymphoblastic lymphoma
EEFSEC::PPP2R3A	Squamous cell carcinoma
EEIG1::ARFGEF2	Squamous cell carcinoma
EEIG1::CIZ1	Adenocarcinoma
EEIG1::DYNC2I2	Adenocarcinoma
EEIG1::EMSY	Adenocarcinoma
EEIG1::NAIF1	Adenocarcinoma
EEIG1::PHF19	Malignant melanoma
EEIG1::PTGES2	Adenocarcinoma | Astrocytoma, grade III-IV/Glioblastoma
EEIG1::RAD23B	Mesenchymal tumor, NOS
EEIG1::WDR93	Adenocarcinoma
EEIG2::SLC25A24	Transitional cell carcinoma
EEIG2::TLCD4	Adenocarcinoma
EEIG2::TRAPPC8	Malignant melanoma
EFCAB11::ASB2	Adenocarcinoma
EFCAB11::C14orf180	Adenocarcinoma
EFCAB11::TTC7B	Adenocarcinoma
EFCAB12::MBD4	Adenocarcinoma
EFCAB13::MYL4	Adenocarcinoma
EFCAB2::FKBP3	Adenocarcinoma
EFCAB2::SDCCAG8	Adenocarcinoma
EFCAB5::ACACA	Adenocarcinoma
EFCAB6::CYB5R3	Malignant melanoma
EFCAB6::OSBP2	Adenocarcinoma
EFCAB8::TNNC2	Adenocarcinoma
EFEMP2::C6ORF132	Adenocarcinoma
EFEMP2::C6orf132	Adenocarcinoma
EFHB::PLCL2	Adenocarcinoma
EFHB::TYR	Undifferentiated carcinoma, small cell
EFHC1::ADGRL3	Adenocarcinoma
EFHC1::IL17A	Adenocarcinoma
EFHC1::MAPK14	Squamous cell carcinoma
EFHD1::EIF4E2	Adenocarcinoma
EFHD2::CTRB2	Adenocarcinoma
EFHD2::CXCR5	Transitional cell carcinoma
EFHD2::FHAD1	Adenocarcinoma
EFL1::CACNA2D3	Adenocarcinoma
EFL1::CDADC1	Squamous cell carcinoma
EFL1::GLDN	Adenocarcinoma
EFL1::KHDRBS2	Squamous cell carcinoma
EFNA1::ADAM15	Adenocarcinoma
EFNA1::CPB1	Adenocarcinoma
EFNA1::FLAD1	Squamous cell carcinoma
EFNA3::CKS1B	Squamous cell carcinoma
EFNA3::FLAD1	Squamous cell carcinoma
EFNA3::HJV	Adenocarcinoma
EFNA3::PIK3C2G	Adenocarcinoma
EFNA3::USP21	Adenocarcinoma
EFNA4::C20ORF96	Adenocarcinoma
EFNA4::C20orf96	Adenocarcinoma
EFNA4::FLAD1	Adenocarcinoma | Squamous cell carcinoma
EFNA5::MCC	Transitional cell carcinoma
EFNB1::RAF1	Malignant melanoma
EFR3A::ASAP1	Adenocarcinoma
EFR3A::ATAD2	Adenocarcinoma
EFR3A::PHF20L1	Adenocarcinoma
EFR3A::SLFN12L	Embryonal nervous system tumor, special type | Malignant epithelial tumor, special type
EFR3A::SMIM18	Adenocarcinoma
EFR3A::ZFAT	Adenocarcinoma
EFR3B::NCAN	Squamous cell carcinoma
EFR3B::NCOA1	Adenocarcinoma
EFTUD2::C1QL1	Adenocarcinoma
EFTUD2::DUSP3	Adenocarcinoma
EFTUD2::GFAP	Adenocarcinoma
EFTUD2::KIF18B	Adenocarcinoma
EFTUD2::KRT24	Squamous cell carcinoma
EFTUD2::PLCD3	Adenocarcinoma
EFTUD2::PLEKHM1	Malignant epithelial tumor, special type
EFTUD2::SIN3A	Adenocarcinoma
EGF::ENPEP	Adenocarcinoma
EGFL7::FOSB	Pseudomyogenic hemangioendothelioma
EGFL7::METRNL	Acute lymphoblastic leukemia/lymphoblastic lymphoma
EGFR::ACADM	Squamous cell carcinoma
EGFR::BRAF	Fibroblastic/myofibroblastic tumor, special type
EGFR::CHODL	Squamous cell carcinoma
EGFR::COBL	Astrocytoma, grade III-IV/Glioblastoma
EGFR::DYM	Squamous cell carcinoma
EGFR::EGFR	Astrocytoma, grade III-IV/Glioblastoma | Carcinoma, NOS
EGFR::ERBB4	Adenocarcinoma
EGFR::ERP44	Astrocytoma, grade III-IV/Glioblastoma
EGFR::GNS	Astrocytoma, grade III-IV/Glioblastoma
EGFR::GRB10	Transitional cell carcinoma
EGFR::GYG1	Transitional cell carcinoma
EGFR::INSL4	Adenocarcinoma
EGFR::LANCL2	Astrocytoma, grade III-IV/Glioblastoma
EGFR::LYST	Adenocarcinoma
EGFR::MYRFL	Astrocytoma, grade III-IV/Glioblastoma
EGFR::PKD1L1	Astrocytoma, grade III-IV/Glioblastoma
EGFR::POLD1	Adenocarcinoma
EGFR::PPARGC1A	Squamous cell carcinoma
EGFR::PPM1H	Astrocytoma, grade III-IV/Glioblastoma
EGFR::PSPH	Astrocytoma, grade III-IV/Glioblastoma
EGFR::PURB	Adenocarcinoma
EGFR::R3HDM2	Astrocytoma, grade III-IV/Glioblastoma
EGFR::RAD51	Adenocarcinoma
EGFR::RCL1	Adenocarcinoma
EGFR::SEC61G	Astrocytoma, grade III-IV/Glioblastoma
EGFR::SEPTIN14	Adenocarcinoma | Astrocytoma, grade III-IV/Glioblastoma | Astrocytoma, grade I-II | Squamous cell carcinoma | Malignant epithelial tumor, special type
EGFR::SHC1	Adenocarcinoma
EGFR::SPMIP7	Astrocytoma, grade I-II
EGFR::TEAD2	Squamous cell carcinoma
EGFR::TEAD3	Astrocytoma, grade III-IV/Glioblastoma
EGFR::VOPP1	Astrocytoma, grade III-IV/Glioblastoma | Squamous cell carcinoma
EGFR::VSTM2A	Astrocytoma, grade III-IV/Glioblastoma | Squamous cell carcinoma | Astrocytoma, grade I-II
EGLN1::C1ORF131	Squamous cell carcinoma
EGLN1::PGBD5	Adenocarcinoma
EGLN1::PTPRF	Squamous cell carcinoma
EGLN2::PLD3	Squamous cell carcinoma
EGLN3::SLC25A21	Adenocarcinoma
EGLN3::TERT	Adenocarcinoma
EGR1::FAR1	Squamous cell carcinoma
EGR1::GRIA1	Fibroblastic/myofibroblastic tumor, special type
EGR1::PLAT	Adenocarcinoma
EHBP1::ALK	Melanocytic neoplasm, special type
EHBP1::BCL11A	Adenocarcinoma
EHBP1::COMMD1	Adenocarcinoma
EHBP1::CTNND2	Adenocarcinoma
EHBP1::FAM161A	Squamous cell carcinoma
EHBP1::GAREM2	Adenocarcinoma
EHBP1::MDH1	Squamous cell carcinoma | Adenocarcinoma
EHBP1::MET	Adenocarcinoma
EHBP1::VAV2	Squamous cell carcinoma
EHBP1L1::FRMD8	Squamous cell carcinoma
EHBP1L1::MTCH2	Adenocarcinoma
EHBP1L1::POLA2	Adenocarcinoma
EHD1::ATG2A	Adenocarcinoma
EHD1::BATF2	Adenocarcinoma
EHD1::DGCR6	Adenocarcinoma
EHD1::GRK3	Astrocytoma, grade I-II
EHD4::FSIP1	Adenocarcinoma
EHD4::GPR176	Malignant melanoma
EHF::BDNF	Adenocarcinoma
EHF::CAT	Adenocarcinoma
EHF::COA8	Transitional cell carcinoma
EHF::CSN2	Adenocarcinoma
EHHADH::ABCC5	Adenocarcinoma
EHHADH::SENP5	Squamous cell carcinoma
EHMT1::ARRDC1	Adenocarcinoma
EHMT1::ATP13A1	Adenocarcinoma
EHMT1::GFI1B	Squamous cell carcinoma
EHMT1::GRIN1	Adenocarcinoma
EHMT1::PPP1R37	Transitional cell carcinoma
EHMT1::SPATA17	Adenocarcinoma
EHMT1::TSC1	Adenocarcinoma
EHMT1::ZMYND19	Adenocarcinoma
EHMT2::ATF6B	Mesenchymal tumor, NOS
EHMT2::CRB1	Adenocarcinoma
EHMT2::NELFE	Adenocarcinoma
EI24::FEZ1	Astrocytoma, grade I-II
EI24::NECTIN1	Undifferentiated carcinoma, small cell
EID2::ACTMAP	Adenocarcinoma
EID2::TDRD12	Malignant epithelial tumor, special type
EIF1::ERBB2	Carcinoma, NOS
EIF1::IGK	Multiple myeloma
EIF1::MED28	Adenocarcinoma
EIF1::USP6	Aneurysmal bone cyst
EIF1AD::CATSPER1	Adenocarcinoma
EIF2A::ANKUB1	Adenocarcinoma
EIF2A::B2M	Adenocarcinoma
EIF2AK1::ANKS1B	Adenocarcinoma
EIF2AK1::COL28A1	Primitive neuroectodermal tumor/Medulloblastoma | Russia
EIF2AK1::GCK	Adenocarcinoma
EIF2AK1::GLCCI1	Astrocytoma, grade I-II
EIF2AK1::MAP2K5	Adenocarcinoma
EIF2AK1::OGDH	Primitive neuroectodermal tumor/Medulloblastoma | Russia
EIF2AK1::PHF14	Mesenchymal tumor, NOS
EIF2AK2::CEBPZ	Adenocarcinoma | Transitional cell carcinoma
EIF2AK2::RMDN2	Adenocarcinoma
EIF2AK2::STRN	Adenocarcinoma
EIF2AK3::NBAS	Malignant melanoma
EIF2AK3::PRKD3	Adenocarcinoma
EIF2AK4::ANKRD34C	Squamous cell carcinoma
EIF2AK4::AVEN	Adenocarcinoma
EIF2AK4::BUB1B	Adenocarcinoma
EIF2AK4::EPB42	Squamous cell carcinoma
EIF2AK4::FEM1B	Squamous cell carcinoma
EIF2AK4::IVD	Malignant epithelial tumor, special type
EIF2AK4::PKM	Astrocytoma, grade I-II
EIF2AK4::TMOD3	Adenocarcinoma
EIF2B1::ACSS3	Adenocarcinoma
EIF2B2::YLPM1	Adenocarcinoma
EIF2B3::CNTNAP2	Adenocarcinoma
EIF2B3::HYI	Adenocarcinoma
EIF2B3::SCMH1	Germ cell tumor, NOS
EIF2B3::ZBTB5	Adenocarcinoma
EIF2S1::GPHN	Adenocarcinoma
EIF2S1::PLEKHH1	Squamous cell carcinoma
EIF2S2::ADRA1D	Squamous cell carcinoma
EIF2S2::DEFB123	Adenocarcinoma
EIF2S2::KCNB1	Malignant melanoma
EIF2S2::LETM2	Squamous cell carcinoma
EIF2S2::NCOA6	Squamous cell carcinoma
EIF2S2::SKAP1	Adenocarcinoma
EIF2S3::PRDX4	Adenocarcinoma
EIF3A::IGH	Multiple myeloma
EIF3A::SFXN4	Adenocarcinoma
EIF3A::TBC1D1	Squamous cell carcinoma
EIF3B::AMZ1	Adenocarcinoma
EIF3B::C3ORF33	Adenocarcinoma
EIF3B::LYPD8	Adenocarcinoma
EIF3D::IQCE	Malignant melanoma
EIF3D::MYH9	Squamous cell carcinoma
EIF3D::PLEKHB2	Adenocarcinoma
EIF3E::PHF20L1	Adenocarcinoma
EIF3E::RSPO2	Adenoma | Adenocarcinoma
EIF3E::RUNX1	Acute myelomonocytic leukemia (FAB type M4)
EIF3G::SFTPB	Adenocarcinoma
EIF3G::ZNF560	Squamous cell carcinoma
EIF3H::CIT	Adenocarcinoma
EIF3H::EFR3A	Adenocarcinoma
EIF3H::PAG1	Malignant melanoma
EIF3H::RAD21	Adenocarcinoma
EIF3H::RIPOR3	Adenocarcinoma
EIF3H::ZNF596	Adenocarcinoma
EIF3K::CIC	Astrocytoma, grade III-IV/Glioblastoma
EIF3K::CYP39A1	Adenocarcinoma
EIF3K::PPP2R2A	Squamous cell carcinoma
EIF3L::ADA2	Malignant melanoma
EIF3L::AK7	Adenocarcinoma
EIF3L::ASCC2	Adenocarcinoma
EIF3L::CDC42EP1	Adenocarcinoma
EIF3L::LTO1	Adenocarcinoma
EIF3L::TRIOBP	Adenocarcinoma | Transitional cell carcinoma | Squamous cell carcinoma
EIF3L::VPS13B	Adenocarcinoma
EIF3M::CSTF3	Adenocarcinoma
EIF3M::MPPED2	Squamous cell carcinoma
EIF3M::UEVLD	Mesenchymal tumor, NOS
EIF4A1::PHOSPHO1	Astrocytoma, grade III-IV/Glioblastoma
EIF4A2::BCL6	Diffuse large B-cell lymphoma | Follicular lymphoma
EIF4A2::ETV5	Adenocarcinoma
EIF4A2::KNG1	Adenocarcinoma
EIF4A2::MECOM	Acute myeloid leukemia, NOS | Skin
EIF4E2::DIS3L2	Adenocarcinoma
EIF4E3::MGA	Acute myeloid leukemia, NOS | Skin
EIF4EBP1::ADAM12	Adenocarcinoma
EIF4EBP1::ADAM18	Mesenchymal tumor, NOS
EIF4EBP1::POLR1D	Adenocarcinoma
EIF4EBP1::PRKAA1	Squamous cell carcinoma
EIF4ENIF1::COMT	Adenocarcinoma
EIF4ENIF1::SHANK3	Adenocarcinoma
EIF4G1::ABCC5	Adenocarcinoma
EIF4G1::ABCF3	Adenocarcinoma
EIF4G1::AEBP1	Malignant melanoma
EIF4G1::ANKS1A	Adenocarcinoma
EIF4G1::PTH2R	Adenocarcinoma
EIF4G1::SNW1	Adenocarcinoma
EIF4G2::ARFGEF2	Malignant melanoma
EIF4G2::EIF2AK2	Adenocarcinoma
EIF4G2::ERBB3	Astrocytoma, grade I-II
EIF4G2::MRNIP	Adenocarcinoma
EIF4G2::NUCB2	Adenocarcinoma
EIF4G2::PLAG1	Adenoma
EIF4G2::RSPO2	Adenocarcinoma
EIF4G2::UTRN	Squamous cell carcinoma
EIF4G2::ZNFX1	Adenocarcinoma
EIF4G3::C7ORF50	Adenocarcinoma
EIF4G3::C7orf50	Adenocarcinoma
EIF4G3::CFAP74	Adenocarcinoma
EIF4G3::DDOST	Adenocarcinoma
EIF4G3::ECE1	Adenocarcinoma
EIF4G3::LAMC1	Malignant epithelial tumor, special type
EIF4G3::LIN28A	Squamous cell carcinoma
EIF4G3::LRRC8D	Adenocarcinoma
EIF4G3::NSUN4	Adenocarcinoma
EIF4G3::PPP2R3A	Adenocarcinoma
EIF4G3::RAP1GAP	Adenocarcinoma
EIF4G3::SNX9	Adenocarcinoma
EIF4H::AARS2	Adenocarcinoma
EIF4H::ELN	Adenocarcinoma
EIF4H::GTF2I	Astrocytoma, grade III-IV/Glioblastoma
EIF5::EVI5	Adenocarcinoma
EIF5::NOTCH2	Adenocarcinoma
EIF5A2::PRKCI	Squamous cell carcinoma
EIF5A::MKS1	Squamous cell carcinoma
EIF5A::USP6	Nodular fasciitis
EIF5B::C2ORF15	Adenocarcinoma
EIF5B::LYG1	Squamous cell carcinoma
EIF5B::MGAT4A	Adenocarcinoma
EIF6::BANF2	Transitional cell carcinoma
EIPR1::MYT1L	Squamous cell carcinoma
EIPR1::SH3YL1	Adenocarcinoma
EIPR1::SLC5A6	Adenocarcinoma
ELAC1::MRO	Adenocarcinoma
ELAC1::SMAD4	Adenocarcinoma
ELAC2::COX10	Adenocarcinoma
ELAC2::RABEP1	Adenocarcinoma
ELAC2::SPTBN1	Fibroma
ELAPOR1::CSN2	Adenocarcinoma
ELAPOR2::ABCA13	Adenocarcinoma
ELAPOR2::TMEM243	Russia | Primitive neuroectodermal tumor/Medulloblastoma
ELAVL1::ATXN10	Malignant epithelial tumor, special type
ELAVL1::HDGFL2	Adenocarcinoma
ELAVL1::PRR36	Squamous cell carcinoma
ELAVL1::TIMM44	Nonneoplastic epithelial disorder/lesion
ELAVL1::TYK2	Acute myeloid leukemia, NOS | Skin
ELAVL2::CFTR	Adenocarcinoma
ELF1::DCLK1	Adenocarcinoma
ELF1::FOXO1	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ELF1::MTIF3	Adenocarcinoma
ELF1::RNF144A	Adenocarcinoma
ELF1::SPATC1L	Skin | Acute myeloid leukemia, NOS
ELF1::UBL3	Transitional cell carcinoma
ELF1::VWA8	Transitional cell carcinoma
ELF2::ICA1L	Squamous cell carcinoma
ELF2::KMT2A	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ELF2::MGARP	Adenocarcinoma
ELF2::NDUFC1	Adenocarcinoma
ELF2::NR1I3	Adenocarcinoma
ELF3::DDX21	Adenocarcinoma
ELF3::GPR37L1	Adenocarcinoma
ELF3::SLC39A6	Adenocarcinoma
ELF4::ERG	Skin | Acute myeloid leukemia, NOS
ELF5::CAT	Adenocarcinoma
ELF5::EXT2	Adenocarcinoma
ELK1::PCBP3	Malignant epithelial tumor, special type
