fusionTranscriptID	fusionGenePair	breakpointID	strand1	strand2	site1	site2	type	confidence	sampleID	toolID
RERG::ZNF652__12:15212051-17:49295344	RERG::ZNF652	12:15212051-17:49295344	.	.	intron	3'UTR	translocation	low	HCC-95	Arriba
AC134878.2::CR381670.2__Y:11212741-21:8836604	AC134878.2::CR381670.2	Y:11212741-21:8836604	-	-	intron	intergenic	translocation	low	HCC-95	Arriba
PTPN20CP::BMS1P2__10:48086758-10:47551894	PTPN20CP::BMS1P2	10:48086758-10:47551894	-	-	exon	exon	deletion	low	HCC-95	Arriba
RN7SKP93(292629),AC092623.1(139580)::NCKAP5__2:133889028-2:133559117	RN7SKP93(292629),AC092623.1(139580)::NCKAP5	2:133889028-2:133559117	-	-	intergenic	5'UTR/splice-site	deletion/read-through	low	HCC-95	Arriba
MTCYBP4(48131),EYA4(41651)::EYA4__6:133198947-6:133274716	MTCYBP4(48131),EYA4(41651)::EYA4	6:133198947-6:133274716	+	+	intergenic	5'UTR/splice-site	deletion/read-through	low	HCC-95	Arriba
IMPDH1P9::RNF144B__6:18366901-6:18399499	IMPDH1P9::RNF144B	6:18366901-6:18399499	+	+	exon	5'UTR/splice-site	deletion/read-through/3'-3'	low	HCC-95	Arriba
C16orf72::C16orf72(15682),RPL21P119(19085)__16:9103259-16:9137317	C16orf72::C16orf72(15682),RPL21P119(19085)	16:9103259-16:9137317	+	+	CDS/splice-site	intergenic	deletion/read-through	low	HCC-95	Arriba
LINC01521::LINC01521(947),RNU6-338P(39067)__22:31348250-22:31349666	LINC01521::LINC01521(947),RNU6-338P(39067)	22:31348250-22:31349666	.	.	exon	intergenic	duplication	low	HCC-95	Arriba
TPST2::TPST2__22:26528214-22:26544675	TPST2::TPST2	22:26528214-22:26544675	-	-	3'UTR/splice-site	5'UTR/splice-site	duplication/non-canonical_splicing	low	HCC-95	Arriba
ERVFRD-3::RBPJP6(53100),BX088651.4(14445)__9:21929636-9:42552234	ERVFRD-3::RBPJP6(53100),BX088651.4(14445)	9:21929636-9:42552234	+	-	exon	intergenic	inversion	low	HCC-95	Arriba
PRB4::PRR4__12:11308221-12:10848407	PRB4::PRR4	12:11308221-12:10848407	-	-	3'UTR/splice-site	CDS/splice-site	deletion	low	HCC-95	Arriba
DLEU2::RNASEH2B__13:50068097-13:50927407	DLEU2::RNASEH2B	13:50068097-13:50927407	-	+	exon/splice-site	CDS/splice-site	inversion	low	HCC-95	Arriba
POLE4::AC092604.1__2:74960146-2:78914944	POLE4::AC092604.1	2:74960146-2:78914944	+	-	CDS/splice-site	exon/splice-site	inversion	low	HCC-95	Arriba
ZCCHC14::KLHDC4__16:87491669-16:87714573	ZCCHC14::KLHDC4	16:87491669-16:87714573	-	-	CDS/splice-site	CDS/splice-site	duplication	low	HCC-95	Arriba
ATR::TXNL4A__3:142485140-18:80030577	ATR::TXNL4A	3:142485140-18:80030577	-	-	CDS/splice-site	5'UTR/splice-site	translocation	low	HCC-95	Arriba
PDP1::MICAL3__8:93917079-22:17823060	PDP1::MICAL3	8:93917079-22:17823060	+	-	5'UTR/splice-site	CDS/splice-site	translocation	low	HCC-95	Arriba
LINC01800::MOB1A__2:64847797-2:74159254	LINC01800::MOB1A	2:64847797-2:74159254	-	-	exon/splice-site	CDS/splice-site	duplication	low	HCC-95	Arriba
EML6::DCTN1__2:54725258-2:74378245	EML6::DCTN1	2:54725258-2:74378245	+	-	CDS/splice-site	CDS/splice-site	inversion	low	HCC-95	Arriba
PTBP3::NAP1L1__9:112297841-12:76053110	PTBP3::NAP1L1	9:112297841-12:76053110	-	-	CDS/splice-site	CDS/splice-site	translocation	low	HCC-95	Arriba
CELF1::AOPEP__11:47499453-9:95021678	CELF1::AOPEP	11:47499453-9:95021678	-	+	CDS/splice-site	exon/splice-site	translocation	low	HCC-95	Arriba
B3GNTL1::TBCD__17:83035035-17:82893547	B3GNTL1::TBCD	17:83035035-17:82893547	-	+	CDS/splice-site	CDS/splice-site	inversion	low	HCC-95	Arriba
UBA2::PDCD2L__19:34428570-19:34421519	UBA2::PDCD2L	19:34428570-19:34421519	+	+	CDS/splice-site	CDS/splice-site	duplication	low	HCC-95	Arriba
NDUFB5::ACTL6A__3:179604939-3:179569824	NDUFB5::ACTL6A	3:179604939-3:179569824	+	+	CDS/splice-site	CDS/splice-site	duplication	low	HCC-95	Arriba
MTAP::BX664718.2__9:21854870-9:42788314	MTAP::BX664718.2	9:21854870-9:42788314	+	+	CDS/splice-site	exon/splice-site	deletion	low	HCC-95	Arriba
MTAP::BX664718.2__9:21859425-9:42788314	MTAP::BX664718.2	9:21859425-9:42788314	+	+	CDS/splice-site	exon/splice-site	deletion	low	HCC-95	Arriba
CCDC130::GABPB2__19:13732285-1:151088190	CCDC130::GABPB2	19:13732285-1:151088190	+	+	5'UTR/splice-site	CDS/splice-site	translocation	low	HCC-95	Arriba
NCOA2::TRAM1__8:70403700-8:70583793	NCOA2::TRAM1	8:70403700-8:70583793	-	-	UTR	CDS(truncated)	.	.	HCC-95	FusionCatcher
NCOA2::TRAM1__8:70402163-8:70583793	NCOA2::TRAM1	8:70402163-8:70583793	-	-	UTR	CDS(truncated)	.	.	HCC-95	FusionCatcher
NCOA2::TRAM1__8:70403198-8:70583793	NCOA2::TRAM1	8:70403198-8:70583793	-	-	intronic	CDS(truncated)	.	.	HCC-95	FusionCatcher
NCOA2::TRAM1__8:70370412-8:70583793	NCOA2::TRAM1	8:70370412-8:70583793	-	-	intronic	CDS(truncated)	.	.	HCC-95	FusionCatcher
NCOA2::TRAM1__8:70403334-8:70583793	NCOA2::TRAM1	8:70403334-8:70583793	-	-	intronic	CDS(truncated)	.	.	HCC-95	FusionCatcher
SMG1::NPIPB5__16:18858170-16:22513522	SMG1::NPIPB5	16:18858170-16:22513522	-	+	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
SMG1::NPIPB5__16:18858211-16:22513522	SMG1::NPIPB5	16:18858211-16:22513522	-	+	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
SMG1::NPIPB5__16:18858170-16:22513523	SMG1::NPIPB5	16:18858170-16:22513523	-	+	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
SMG1::NPIPB5__16:18858170-16:22513424	SMG1::NPIPB5	16:18858170-16:22513424	-	+	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
SMG1::NPIPB5__16:18858170-16:22513764	SMG1::NPIPB5	16:18858170-16:22513764	-	+	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
SMG1::NPIPB5__16:18858171-16:22507337	SMG1::NPIPB5	16:18858171-16:22507337	-	+	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
KRT14::KRT5__17:41586534-12:52519914	KRT14::KRT5	17:41586534-12:52519914	-	-	in-frame	.	.	.	HCC-95	FusionCatcher
KRT5::KRT14__12:52519935-17:41586541	KRT5::KRT14	12:52519935-17:41586541	-	-	in-frame	.	.	.	HCC-95	FusionCatcher
KRT5::KRT14__12:52519963-17:41586590	KRT5::KRT14	12:52519963-17:41586590	-	-	in-frame	.	.	.	HCC-95	FusionCatcher
AC133555.6::SLC7A5__16:29613648-16:87869429	AC133555.6::SLC7A5	16:29613648-16:87869429	-	-	exonic(no-known-CDS)	UTR	.	.	HCC-95	FusionCatcher
IQGAP1::ZNF774__15:90390873-15:90354642	IQGAP1::ZNF774	15:90390873-15:90354642	+	+	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
IQGAP1::ZNF774__15:90390873-15:90358851	IQGAP1::ZNF774	15:90390873-15:90358851	+	+	in-frame	.	.	.	HCC-95	FusionCatcher
PPP2R3A::GCNT2__3:135965849-6:10527474	PPP2R3A::GCNT2	3:135965849-6:10527474	+	+	UTR	UTR	.	.	HCC-95	FusionCatcher
PPP2R3A::GCNT2__3:135965849-6:10621351	PPP2R3A::GCNT2	3:135965849-6:10621351	+	+	UTR	CDS(truncated)	.	.	HCC-95	FusionCatcher
PPP2R3A::GCNT2__3:135966421-6:10527474	PPP2R3A::GCNT2	3:135966421-6:10527474	+	+	intronic	UTR	.	.	HCC-95	FusionCatcher
ALG1L::LINC01980__3:125936898-3:27824650	ALG1L::LINC01980	3:125936898-3:27824650	-	+	UTR	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
ALG1L::LINC01980__3:125936943-3:27821680	ALG1L::LINC01980	3:125936943-3:27821680	-	+	UTR	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
KRT5::HNRNPA1__12:52519742-12:54284267	KRT5::HNRNPA1	12:52519742-12:54284267	-	+	in-frame	.	.	.	HCC-95	FusionCatcher
KRT5::HNRNPA1__12:52519960-12:54282800	KRT5::HNRNPA1	12:52519960-12:54282800	-	+	in-frame	.	.	.	HCC-95	FusionCatcher
LINC-ROR::AL161431.1__18:57065331-13:109270453	LINC-ROR::AL161431.1	18:57065331-13:109270453	-	+	intronic	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
LINC00665::AL161431.1__19:36260563-13:109270044	LINC00665::AL161431.1	19:36260563-13:109270044	-	+	intronic	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
LINC00665::AL161431.1__19:36260999-13:109269643	LINC00665::AL161431.1	19:36260999-13:109269643	-	+	intronic	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
CERS3::AL391152.1__15:100417414-14:57112556	CERS3::AL391152.1	15:100417414-14:57112556	-	-	intronic	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
AC236668.1::AL161431.1__X:114044947-13:109270043	AC236668.1::AL161431.1	X:114044947-13:109270043	+	+	intronic	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
AC236668.1::AL161431.1__X:114044502-13:109269634	AC236668.1::AL161431.1	X:114044502-13:109269634	+	+	intronic	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
AL161431.1::AC236668.1__13:109271090-X:114040465	AL161431.1::AC236668.1	13:109271090-X:114040465	+	+	exonic(no-known-CDS)	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
PPP2CB::TEX15__8:30812320-8:30849316	PPP2CB::TEX15	8:30812320-8:30849316	-	-	out-of-frame	.	.	.	HCC-95	FusionCatcher
KRT5::HNRNPA1P48__12:52519915-16:51646449	KRT5::HNRNPA1P48	12:52519915-16:51646449	-	+	in-frame	.	.	.	HCC-95	FusionCatcher
KRT17::KRT5__17:41624318-12:52519965	KRT17::KRT5	17:41624318-12:52519965	-	-	out-of-frame	.	.	.	HCC-95	FusionCatcher
TAF3::GATA3__10:7977323-10:8069473	TAF3::GATA3	10:7977323-10:8069473	+	+	out-of-frame	.	.	.	HCC-95	FusionCatcher
CCDC32::CBX3__15:40561981-7:26201745	CCDC32::CBX3	15:40561981-7:26201745	-	+	UTR	UTR	.	.	HCC-95	FusionCatcher
CCDC32::CBX3__15:40562772-7:26201769	CCDC32::CBX3	15:40562772-7:26201769	-	+	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
LINC01393::MET__7:115030768-7:116724772	LINC01393::MET	7:115030768-7:116724772	+	+	exonic(no-known-CDS)	UTR	.	.	HCC-95	FusionCatcher
NPM1::PTMA__5:171386070-2:231712881	NPM1::PTMA	5:171386070-2:231712881	+	+	intergenic	UTR	.	.	HCC-95	FusionCatcher
NSF::LRRC37A3__17:46704854-17:64898459	NSF::LRRC37A3	17:46704854-17:64898459	+	-	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
NSF::LRRC37A3__17:46704854-17:64892600	NSF::LRRC37A3	17:46704854-17:64892600	+	-	in-frame	.	.	.	HCC-95	FusionCatcher
AC044860.1::GOLGA2P2Y__15:85234479-Y:24210503	AC044860.1::GOLGA2P2Y	15:85234479-Y:24210503	-	-	exonic(no-known-CDS)	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
AC044860.1::GOLGA2P2Y__15:85234479-Y:24210847	AC044860.1::GOLGA2P2Y	15:85234479-Y:24210847	-	-	exonic(no-known-CDS)	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
AC044860.1::GOLGA2P2Y__15:85234529-Y:24210847	AC044860.1::GOLGA2P2Y	15:85234529-Y:24210847	-	-	exonic(no-known-CDS)	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
NPEPPS::TBC1D3__17:47592545-17:38191030	NPEPPS::TBC1D3	17:47592545-17:38191030	+	-	CDS(complete)	UTR	.	.	HCC-95	FusionCatcher
TPM3::C1ORF43__1:154182988-1:154214574	TPM3::C1ORF43	1:154182988-1:154214574	-	-	in-frame	.	.	.	HCC-95	FusionCatcher
EPB41L1::NR4A3__20:36092813-9:99863620	EPB41L1::NR4A3	20:36092813-9:99863620	+	+	UTR	CDS(truncated)	.	.	HCC-95	FusionCatcher
EPB41L1::NR4A3__20:36091875-9:99863620	EPB41L1::NR4A3	20:36091875-9:99863620	+	+	UTR	CDS(truncated)	.	.	HCC-95	FusionCatcher
LDLRAD3::CD44__11:36098461-11:35180274	LDLRAD3::CD44	11:36098461-11:35180274	+	+	in-frame	.	.	.	HCC-95	FusionCatcher
LDLRAD3::CD44__11:36036249-11:35201082	LDLRAD3::CD44	11:36036249-11:35201082	+	+	in-frame	.	.	.	HCC-95	FusionCatcher
LDLRAD3::CD44__11:35944144-11:35214852	LDLRAD3::CD44	11:35944144-11:35214852	+	+	in-frame	.	.	.	HCC-95	FusionCatcher
ACAD8::GLB1L3__11:134263732-11:134275185	ACAD8::GLB1L3	11:134263732-11:134275185	+	+	UTR	UTR	.	.	HCC-95	FusionCatcher
KRT5::NCL__12:52519960-2:231455475	KRT5::NCL	12:52519960-2:231455475	-	-	in-frame	.	.	.	HCC-95	FusionCatcher
KRT5::NCL__12:52519999-2:231455457	KRT5::NCL	12:52519999-2:231455457	-	-	in-frame	.	.	.	HCC-95	FusionCatcher
KRT5::SLC3A2__12:52516666-11:62880988	KRT5::SLC3A2	12:52516666-11:62880988	-	+	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
KRT5::SLC3A2__12:52519829-11:62882003	KRT5::SLC3A2	12:52519829-11:62882003	-	+	in-frame	.	.	.	HCC-95	FusionCatcher
LINC-ROR::LINC00665__18:57071904-19:36262860	LINC-ROR::LINC00665	18:57071904-19:36262860	-	-	exonic(no-known-CDS)	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
NCL::KRT5__2:231455506-12:52519923	NCL::KRT5	2:231455506-12:52519923	-	-	in-frame	.	.	.	HCC-95	FusionCatcher
AKR1C2::EEF1A1__10:4998676-6:73519518	AKR1C2::EEF1A1	10:4998676-6:73519518	-	-	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
MOB1A::SERTAD2__2:74165218-2:64677841	MOB1A::SERTAD2	2:74165218-2:64677841	-	-	CDS(truncated)	intronic	.	.	HCC-95	FusionCatcher
MOB1A::SERTAD2__2:74165218-2:64636875	MOB1A::SERTAD2	2:74165218-2:64636875	-	-	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
AL355472.2::COA6__1:234357090-1:234374230	AL355472.2::COA6	1:234357090-1:234374230	+	+	exonic(no-known-CDS)	CDS(truncated)	.	.	HCC-95	FusionCatcher
AL355472.2::COA6__1:234365583-1:234374230	AL355472.2::COA6	1:234365583-1:234374230	+	+	exonic(no-known-CDS)	CDS(truncated)	.	.	HCC-95	FusionCatcher
DDX6::RPL7L1__11:118770042-6:42887582	DDX6::RPL7L1	11:118770042-6:42887582	-	+	intronic	UTR	.	.	HCC-95	FusionCatcher
PPIP5K1::CATSPER2__15:43571412-15:43668118	PPIP5K1::CATSPER2	15:43571412-15:43668118	-	-	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
PPIP5K1::CATSPER2__15:43564103-15:43640496	PPIP5K1::CATSPER2	15:43564103-15:43640496	-	-	in-frame	.	.	.	HCC-95	FusionCatcher
PPIP5K1::CATSPER2__15:43564867-15:43640496	PPIP5K1::CATSPER2	15:43564867-15:43640496	-	-	in-frame	.	.	.	HCC-95	FusionCatcher
PPIP5K1::CATSPER2__15:43568463-15:43649879	PPIP5K1::CATSPER2	15:43568463-15:43649879	-	-	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
PPIP5K1::CATSPER2__15:43564867-15:43648063	PPIP5K1::CATSPER2	15:43564867-15:43648063	-	-	in-frame	.	.	.	HCC-95	FusionCatcher
PPIP5K1::CATSPER2__15:43564867-15:43648066	PPIP5K1::CATSPER2	15:43564867-15:43648066	-	-	in-frame	.	.	.	HCC-95	FusionCatcher
TPST1::TRIM47__7:66286709-17:75876813	TPST1::TRIM47	7:66286709-17:75876813	+	-	in-frame	.	.	.	HCC-95	FusionCatcher
TPST1::TRIM47__7:66286709-17:75876492	TPST1::TRIM47	7:66286709-17:75876492	+	-	in-frame	.	.	.	HCC-95	FusionCatcher
CTBS::GNG5__1:84563257-1:84501970	CTBS::GNG5	1:84563257-1:84501970	-	-	in-frame	.	.	.	HCC-95	FusionCatcher
HSP90AB1::TRIM44__6:44252194-11:35663435	HSP90AB1::TRIM44	6:44252194-11:35663435	+	+	in-frame	.	.	.	HCC-95	FusionCatcher
KRT13::TAF15__17:41505340-17:35844729	KRT13::TAF15	17:41505340-17:35844729	-	+	in-frame	.	.	.	HCC-95	FusionCatcher
KRT5::EIF5A__12:52515167-17:7307670	KRT5::EIF5A	12:52515167-17:7307670	-	+	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
KRT5::FUS__12:52515187-16:31184993	KRT5::FUS	12:52515187-16:31184993	-	+	in-frame	.	.	.	HCC-95	FusionCatcher
KRT5::FUS__12:52519915-16:31185032	KRT5::FUS	12:52519915-16:31185032	-	+	in-frame	.	.	.	HCC-95	FusionCatcher
SYK::MROH3P__9:90801893-1:200948092	SYK::MROH3P	9:90801893-1:200948092	+	+	UTR	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
SYK::MROH3P__9:90802039-1:200948092	SYK::MROH3P	9:90802039-1:200948092	+	+	UTR	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
SYK::MROH3P__9:90802039-1:200965031	SYK::MROH3P	9:90802039-1:200965031	+	+	UTR	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
SYK::MROH3P__9:90801893-1:200957299	SYK::MROH3P	9:90801893-1:200957299	+	+	UTR	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
TAF15::KRT13__17:35844767-17:41505381	TAF15::KRT13	17:35844767-17:41505381	+	-	in-frame	.	.	.	HCC-95	FusionCatcher
TAF15::KRT13__17:35844884-17:41505339	TAF15::KRT13	17:35844884-17:41505339	+	-	in-frame	.	.	.	HCC-95	FusionCatcher
PTMA::PTMS__2:231708751-12:6769603	PTMA::PTMS	2:231708751-12:6769603	+	+	in-frame	.	.	.	HCC-95	FusionCatcher
PTMA::PTMS__2:231711983-12:6770157	PTMA::PTMS	2:231711983-12:6770157	+	+	in-frame	.	.	.	HCC-95	FusionCatcher
CYP4F11::MIR100HG__19:15923812-11:122301399	CYP4F11::MIR100HG	19:15923812-11:122301399	-	-	CDS(truncated)	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
LINC01799::LRRTM4__2:66945474-2:76748916	LINC01799::LRRTM4	2:66945474-2:76748916	+	-	exonic(no-known-CDS)	CDS(truncated)	.	.	HCC-95	FusionCatcher
MIR100HG::CYP4F11__11:122396420-19:15912762	MIR100HG::CYP4F11	11:122396420-19:15912762	-	-	intronic	UTR	.	.	HCC-95	FusionCatcher
A4GALT::CRYBB1__22:42720797-22:26612190	A4GALT::CRYBB1	22:42720797-22:26612190	-	-	UTR	CDS(truncated)	.	.	HCC-95	FusionCatcher
A4GALT::CRYBB1__22:42720797-22:26616338	A4GALT::CRYBB1	22:42720797-22:26616338	-	-	UTR	UTR	.	.	HCC-95	FusionCatcher
AGPS::HNRNPA3__2:177420358-2:177222060	AGPS::HNRNPA3	2:177420358-2:177222060	+	+	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
AP003119.1::GUCY2EP__11:76768110-11:76713186	AP003119.1::GUCY2EP	11:76768110-11:76713186	-	-	exonic(no-known-CDS)	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
EWSR1::KRT5__22:29299742-12:52519935	EWSR1::KRT5	22:29299742-12:52519935	+	-	in-frame	.	.	.	HCC-95	FusionCatcher
FTH1::HMGN2__11:61967511-1:26472533	FTH1::HMGN2	11:61967511-1:26472533	-	+	UTR	UTR	.	.	HCC-95	FusionCatcher
FTH1::HMGN2__11:61967395-1:26472527	FTH1::HMGN2	11:61967395-1:26472527	-	+	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
HMGN2::FTH1__1:26472599-11:61967449	HMGN2::FTH1	1:26472599-11:61967449	+	-	UTR	UTR	.	.	HCC-95	FusionCatcher
KAT8::GIT2__16:31121114-12:109985310	KAT8::GIT2	16:31121114-12:109985310	+	-	UTR	intronic	.	.	HCC-95	FusionCatcher
LAMA5::GATA5__20:62333901-20:62475542	LAMA5::GATA5	20:62333901-20:62475542	-	-	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
LAMA5::GATA5__20:62334186-20:62475542	LAMA5::GATA5	20:62334186-20:62475542	-	-	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
LHX6::NDUFA8__9:122213606-9:122152408	LHX6::NDUFA8	9:122213606-9:122152408	-	-	out-of-frame	.	.	.	HCC-95	FusionCatcher
LINC02457::LINC00173__12:116518318-12:116533966	LINC02457::LINC00173	12:116518318-12:116533966	+	+	exonic(no-known-CDS)	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
LINC02457::LINC00173__12:116519060-12:116533966	LINC02457::LINC00173	12:116519060-12:116533966	+	+	exonic(no-known-CDS)	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
PKM::KRT5__15:72219002-12:52518998	PKM::KRT5	15:72219002-12:52518998	-	-	in-frame	.	.	.	HCC-95	FusionCatcher
SERF1A::SMN1__5:70901933-5:70938839	SERF1A::SMN1	5:70901933-5:70938839	+	+	out-of-frame	.	.	.	HCC-95	FusionCatcher
SLC7A5::RPL39__16:87837878-X:119791628	SLC7A5::RPL39	16:87837878-X:119791628	-	-	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
ZNF717::CR381653.1__3:75784915-21:9327240	ZNF717::CR381653.1	3:75784915-21:9327240	-	+	UTR	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
ZNF717::CR381653.1__3:75783306-21:9331231	ZNF717::CR381653.1	3:75783306-21:9331231	-	+	CDS(truncated)	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
ARL16::CCND3__17:81682541-6:41980427	ARL16::CCND3	17:81682541-6:41980427	-	-	UTR	intronic	.	.	HCC-95	FusionCatcher
HMGB1::NPM1__13:30461373-5:171400153	HMGB1::NPM1	13:30461373-5:171400153	-	+	in-frame	.	.	.	HCC-95	FusionCatcher
HMGB1::PTMA__13:30461393-2:231712469	HMGB1::PTMA	13:30461393-2:231712469	-	+	in-frame	.	.	.	HCC-95	FusionCatcher
NEK7::SYK__1:198157276-9:90845434	NEK7::SYK	1:198157276-9:90845434	+	+	UTR	CDS(truncated)	.	.	HCC-95	FusionCatcher
UBA2::WTIP__19:34467014-19:34490376	UBA2::WTIP	19:34467014-19:34490376	+	+	in-frame	.	.	.	HCC-95	FusionCatcher
AC006019.1::AC092666.1__7:154060571-7:150041952	AC006019.1::AC092666.1	7:154060571-7:150041952	-	+	exonic(no-known-CDS)	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
APP::KRT5__21:25954639-12:52520352	APP::KRT5	21:25954639-12:52520352	-	-	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
CD44::PDHX__11:35190065-11:34931404	CD44::PDHX	11:35190065-11:34931404	+	+	in-frame	.	.	.	HCC-95	FusionCatcher
CHCHD10::VPREB3__22:23766128-22:23753198	CHCHD10::VPREB3	22:23766128-22:23753198	-	-	in-frame	.	.	.	HCC-95	FusionCatcher
CLN6::CALML4__15:68218536-15:68194112	CLN6::CALML4	15:68218536-15:68194112	-	-	in-frame	.	.	.	HCC-95	FusionCatcher
CLN6::CALML4__15:68209637-15:68197628	CLN6::CALML4	15:68209637-15:68197628	-	-	out-of-frame	.	.	.	HCC-95	FusionCatcher
EML4::REX1BD__2:42216324-19:18591709	EML4::REX1BD	2:42216324-19:18591709	+	+	intronic	UTR	.	.	HCC-95	FusionCatcher
GAPDH::ATN1__12:6537923-12:6936490	GAPDH::ATN1	12:6537923-12:6936490	+	+	in-frame	.	.	.	HCC-95	FusionCatcher
IQGAP1::AC091167.6__15:90390873-15:90314298	IQGAP1::AC091167.6	15:90390873-15:90314298	+	+	CDS(truncated)	UTR	.	.	HCC-95	FusionCatcher
LINC01876::CERS3__2:156254778-15:100402865	LINC01876::CERS3	2:156254778-15:100402865	-	-	exonic(no-known-CDS)	CDS(truncated)	.	.	HCC-95	FusionCatcher
MECOM::RPL22__3:169483930-1:6197732	MECOM::RPL22	3:169483930-1:6197732	-	-	intronic	CDS(truncated)	.	.	HCC-95	FusionCatcher
MECOM::RPL22__3:169483898-1:6197704	MECOM::RPL22	3:169483898-1:6197704	-	-	intronic	CDS(truncated)	.	.	HCC-95	FusionCatcher
MECOM::RPL22__3:169483891-1:6197746	MECOM::RPL22	3:169483891-1:6197746	-	-	intronic	CDS(truncated)	.	.	HCC-95	FusionCatcher
MIR2052HG::ARMH4__8:74599908-14:58012150	MIR2052HG::ARMH4	8:74599908-14:58012150	+	-	exonic(no-known-CDS)	CDS(truncated)	.	.	HCC-95	FusionCatcher
PDIA6::AC092687.3__2:10787281-2:10770055	PDIA6::AC092687.3	2:10787281-2:10770055	-	-	CDS(truncated)	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
RAD51AP1::DYRK4__12:4553147-12:4567955	RAD51AP1::DYRK4	12:4553147-12:4567955	+	+	out-of-frame	.	.	.	HCC-95	FusionCatcher
RAD51AP1::DYRK4__12:4553089-12:4567955	RAD51AP1::DYRK4	12:4553089-12:4567955	+	+	out-of-frame	.	.	.	HCC-95	FusionCatcher
RPL22::MECOM__1:6197732-3:169484014	RPL22::MECOM	1:6197732-3:169484014	-	-	CDS(truncated)	intronic	.	.	HCC-95	FusionCatcher
RPL22::MECOM__1:6186507-3:169483506	RPL22::MECOM	1:6186507-3:169483506	-	-	UTR	intronic	.	.	HCC-95	FusionCatcher
TRIM44::PTMA__11:35701465-2:231712877	TRIM44::PTMA	11:35701465-2:231712877	+	+	intronic	UTR	.	.	HCC-95	FusionCatcher
AC006230.1::CYP4F11__4:11467248-19:15912726	AC006230.1::CYP4F11	4:11467248-19:15912726	+	-	exonic(no-known-CDS)	UTR	.	.	HCC-95	FusionCatcher
AL589182.1::PSLNR__14:19054711-22:15778010	AL589182.1::PSLNR	14:19054711-22:15778010	+	+	exonic(no-known-CDS)	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
BOLA3::AC007403.1__2:74142272-2:67040968	BOLA3::AC007403.1	2:74142272-2:67040968	-	+	CDS(truncated)	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
BOLA3::AC007403.1__2:74142272-2:67040933	BOLA3::AC007403.1	2:74142272-2:67040933	-	+	CDS(truncated)	exonic(no-known-CDS)	.	.	HCC-95	FusionCatcher
C19MC::RPLP1__19:53775601-15:69452845	C19MC::RPLP1	19:53775601-15:69452845	+	+	---	UTR	.	.	HCC-95	FusionCatcher
C19MC::RPLP1__19:53775618-15:69452924	C19MC::RPLP1	19:53775618-15:69452924	+	+	---	UTR	.	.	HCC-95	FusionCatcher
C19MC::RPLP1__19:53775685-15:69452985	C19MC::RPLP1	19:53775685-15:69452985	+	+	---	CDS(truncated)	.	.	HCC-95	FusionCatcher
